"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
332405,301079,89,201351,182514,86,8187.34,158738,5484.71,22784.9,-1490.28,938.499,1360.89,232499,44253.2,-15653.8,91944.4,0.00542157
353695,325217,91,252944,224963,87,11141.8,177992,23363.9,41697.7,-2104.13,-2659.25,2892.46,128168,76399.4,-11229.4,89709.3,0.00677696
447980,401910,106,364739,326252,93,15140.4,262506,43108,154837,-3466.17,-99.6773,3019.52,156143,106010,-11873.9,104855,0.0121985
238607,219465,83,188094,171807,82,3227.82,185908,5146.31,11296,-670.204,-1400.23,1653.45,225981,29776.2,-18235.1,103277,0.0352402
316226,285367,99,189395,170979,88,4978.63,215962,6697.9,29955,-566.738,3207.32,942.585,218747,37820.5,-16843.6,47125,0.037951
336714,276328,95,445376,373805,94,10511.7,194183,28661.4,38735.3,-1252.69,5577.42,3977.74,155795,83675.4,-12390.5,80749.8,0.0433725
268357,241279,86,299693,263161,88,7560.04,213603,7810.76,53825.3,-2030.45,-508.682,4214.85,243621,73454.9,-20392.7,73761.3,0.0460833
371975,330364,89,316917,273423,92,9346.84,198934,33922.1,59899.7,-266.854,2396.51,1564.85,221127,61970.6,-18441.4,91702.9,0.0637034
398341,357165,91,363429,317743,92,10011,188117,32121.3,19750.1,-1801.7,-15.7467,977.616,148200,79483.8,-11053.4,88149.1,0.0840343
274066,256559,85,192024,178353,84,6444.44,216506,4758.6,45452.7,-3232.57,4388.17,2415.04,111641,77408.9,-7105.43,114269,0.0894559
164238,125898,85,302492,243517,89,5405.95,113827,18180.5,26179.3,505.164,-870.532,5795.13,116210,35964.7,-9859.87,100444,0.107076
253323,210617,89,369400,297950,93,8871.27,118040,35751.8,31403.6,-1381.55,764.152,3073.46,107169,49914.3,-9066.29,103765,0.116564
329255,298844,89,331610,292965,91,6477.6,176214,11104.3,25754,-94.8647,7192.82,1332.68,306036,56305.2,-25896.8,94954.3,0.135539
315297,295018,87,194067,179363,85,5228.22,228213,5208.83,17528.8,-12.9778,-317.211,1175.1,258252,35610.1,-17079,70531.2,0.142316
327433,309303,88,213177,198505,87,4960.64,146932,6915.36,33096.5,836.446,3421.96,1528.51,201525,28977.9,-16362.5,89635.7,0.150448
203853,186068,84,256158,237705,83,4315.71,149453,9261.04,30260.8,1096.74,1887.66,3343,208503,23943.9,-15413.6,93511.8,0.151804
424804,378663,94,252390,227414,90,13826.8,181125,5151.11,29161.5,874.665,-242.355,12540.6,141239,55177.2,-10253.3,90602.3,0.176201
251070,241765,84,130198,125625,80,3221.69,186727,3682.35,16997.4,-1103.52,2945.29,1377.53,172526,27212.5,-12359.7,99243.4,0.187044
262379,252794,82,168668,163499,81,6398.62,146916,3413.03,29631.7,-974.51,7216.78,2186.32,86030.5,45176,-4380.03,90380.4,0.192466
284217,271194,87,216452,203496,85,6498.54,171384,7700.56,54694.6,337.068,6718.38,1930.79,145195,35751.8,-11782,46266.9,0.193821
204639,169719,93,429410,375647,88,8035.04,138579,20228,32056.7,1883.72,-834.639,11980.3,152724,38997.5,-11427.9,117649,0.203309
292153,271523,87,176761,163907,84,7759.81,204018,3496.91,26897.6,-2195.92,4049.87,2962.65,140485,76354.2,-8750.39,105767,0.218218
331130,315739,85,279420,259363,87,7222.94,159142,10024.6,36899,1104.44,1580.1,2139.93,153074,48945.5,-13151.7,90451.4,0.227706
378597,338679,93,356695,318781,90,9387.2,104049,14283.4,25350.6,2159.44,1619.1,853.274,191500,29758.4,-15969.8,83736,0.261591
293558,271935,86,271111,235770,89,5652.86,158468,8477.75,43023.7,2307.2,6342.31,1752.94,121505,45712.4,-7774.48,90367.2,0.264301
267765,231417,90,343908,296163,90,6684.29,144064,15613.5,27666.5,561.396,3509.66,1739.65,188295,36377,-14321.7,88672.9,0.275144
344084,300237,90,303755,260463,93,9106.87,157427,18030.3,34046.9,1611.98,2558.84,2946.31,238074,46973.7,-19605.8,72066.3,0.279211
309774,282068,89,171926,156972,87,5709.77,142273,9097.15,21929,647.773,2566.12,1506.38,213402,24241.5,-18174.9,80404.4,0.285988
361461,312045,101,419955,355013,94,16810.8,273387,32319,89964.9,-1146.77,2630.88,3172.14,166809,78261,-12690.1,46315.6,0.287343
362770,329614,90,312165,276185,89,8743.21,194565,16568.6,20210,536.441,934.692,2390.87,222277,62274.2,-17333.7,72893.2,0.302252
262623,253568,83,168623,159471,82,4156.99,184427,2491.62,20790.7,-778.667,11440.5,1112.43,185470,24751.5,-15094,65060,0.306319
237642,213140,88,253438,224517,85,5453.63,124183,11605.6,46661.4,-1702.05,2475.24,1640.36,175015,57450.9,-13307.1,85918.4,0.306319
299450,264491,89,369539,322822,90,8385.89,149053,30577.3,44516.6,1325.69,4976.27,4351.79,171226,52642.3,-13903.8,82472.4,0.31174
271332,234195,90,381747,325809,90,7295.36,78680.5,30375.4,27310.6,789.495,2835.24,2432.51,170284,37835.2,-14761.3,117081,0.314451
315891,282928,89,222696,196679,88,7009.39,138682,7618.65,16321.5,1169.41,2997.73,960.634,214391,29684.8,-15074.5,122049,0.315806
247529,227349,84,164731,148409,86,5540.35,175788,5889.12,34603.3,-281.64,7583.57,2264.17,155549,36954.5,-10761.1,84934.6,0.319872
313753,290635,87,308393,272323,88,9246.71,237894,9481.14,56507.1,-486.146,-877.3,3860.29,172590,68188.7,-14444.6,79274.4,0.334782
342074,315289,90,243428,216950,89,6809.28,66422.5,14484.4,38884.9,2516.67,2979.42,1753.38,109919,20823.7,-9207.98,73224.3,0.340203
275317,261657,83,147330,139599,83,4624.37,150408,5594.96,26757.5,-873.854,4291.88,604.031,179511,25915.9,-14816.7,98831.2,0.363245
301020,275322,87,344458,299750,88,5960.2,184396,13781.6,35886.5,-747.187,6236.14,3793.82,244767,49505,-21468.2,83820.9,0.374088
349210,319416,88,268961,241725,88,10161.9,183494,17921,43164.9,-1023.76,-281.951,1677.57,243106,62321.5,-21010.8,123277,0.378154
284213,268211,86,149120,143687,82,5324.6,137266,7186.66,44854.7,-2209.14,5152.36,941.216,137324,41058.8,-10826.4,71231.8,0.378154
238985,227583,88,125183,115294,80,3337.72,114529,3534.13,16632.3,-432.277,5135.4,1341.53,171402,19516,-14544.5,76116.6,0.380865
259862,236276,87,222352,199189,84,4717.45,148421,15514.9,37492,-505.941,1704.74,1734.24,203192,41163.4,-17865.1,72104.3,0.391708
210269,184206,85,274201,248890,84,6165.77,168805,6050.21,57747.3,-791.739,10020.1,3087.52,221971,29282.9,-17714.8,87921.4,0.393064
370732,325864,91,365556,324348,91,10578,203986,31414.2,29791,-714.686,-317.085,2867.74,187284,78155.5,-16091.9,60566.8,0.393064
317954,297652,85,268396,247658,86,7567.38,121691,13345.5,16637.1,278.567,1459.44,1974.04,133041,45345.5,-8582.19,109521,0.398485
223136,190934,92,399642,332677,89,5152.72,175573,22133.9,29160.8,725.684,-2256.51,2869.55,268010,51738.5,-22044.6,64679.6,0.418816
304104,275951,85,335026,288893,92,10621.9,176311,32336,16728,-1113.07,669.167,3784.63,198285,60017.9,-15830.5,86173.8,0.418816
207883,189374,82,280094,248079,86,6360.86,173283,9425.38,44836.4,-217.895,4413.42,2564.96,242597,31012.8,-18358.5,60681.3,0.421527
295096,275381,85,237295,210683,87,6739.47,141658,6493.08,12141.1,-910.186,3601.18,854.958,195308,43532.3,-16326.8,88740.4,0.437791
268266,256223,83,168514,160323,82,5340.28,179436,3862.06,8378.67,266.069,3125.39,2128.36,128963,35589.7,-8583.22,53917.2,0.439147
189088,174931,82,178928,171095,80,4650.38,108525,4818.35,48792.2,-236.426,2667.28,2538.79,116282,36384.9,-7205.43,51358.1,0.447279
316482,293164,87,214946,187839,88,7837.05,174085,9769.12,19894.1,-1346.45,1524.53,1942,144704,74856.2,-10525.5,65247.9,0.463544
210039,189241,87,266532,245971,85,5778.76,198176,8419.29,34443,11.9204,11957.4,3263.46,158487,48240.9,-9824.31,54126,0.50014
282763,260944,90,246661,227819,86,5851.37,166485,6478.64,27217.7,-1285.74,2777.8,1675.07,252746,41282.3,-21552.3,117482,0.515049
220631,194610,87,283596,249298,87,5943.76,113525,8329.3,45739.4,-2479.47,2379.01,2865.52,191007,46126.1,-14635.6,82944.4,0.519115
295515,266570,89,231803,209078,87,4928.7,169754,4411.05,20961,-228.416,946.796,2245.19,233117,28852,-17381.6,62533.5,0.566554
