"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
440745,376641,91,336184,275107,92,20553.2,311104,34929,84838.6,3096.44,10981.3,4976.13,272172,153932,-28485.6,85577,0.0827329
455556,404703,103,268366,206575,103,20285.5,235285,12997.5,49172.1,6157.51,1301.91,3512.36,205750,133883,-21576.2,79895.6,0.176141
311242,283778,86,185054,168509,82,7363.33,151377,6738.86,65294.3,1843.94,13786.9,2007.83,341308,63276,-34161.3,132821,0.286896
390779,354145,87,237525,209999,86,13618.5,211922,29334.6,75161.1,-279.766,553.52,5482.03,235335,104769,-26101,67788,0.467041
435345,385115,91,342106,290865,90,20922.3,369244,24085.1,69490,3037.87,18161.7,8073.91,317549,164933,-31909.3,76205.7,0.507073
378340,338905,100,246773,218513,86,12309.7,187718,21506,29492,3697.42,2894.54,2179.28,157750,74048.9,-18015.8,77430.1,0.548439
300863,278272,89,175701,158249,81,7448.99,132473,9639.98,87014.3,753.999,46989.4,2067.49,248068,72332,-26506,45623,0.735255
347451,294103,102,254899,209224,88,16174.3,216074,37132.3,93063.6,2327.75,-408.032,7422.91,151643,119779,-15966.4,83340.9,0.744596
448387,365866,98,309452,236600,94,19278,311701,49557.6,99477.1,2499.86,8308.73,7482.88,213836,139767,-24087.7,128287,0.800641
363336,319209,89,274365,235461,85,13532.8,192037,23596.6,80185.9,1338.06,2748.24,6285.89,277890,120247,-30577.9,101662,0.988792
354136,318407,89,230845,202961,85,14756.2,210265,38571.2,83484,1628.59,-612.856,3270.21,237591,116740,-26950.9,98928.6,1.00881
417148,364459,88,312400,266902,89,13567.3,247165,26120.7,112446,3545.53,2576.35,3299.65,501706,125673,-56422.5,83899.5,1.01415
456544,406159,88,239882,210708,86,18603.1,317601,19603.4,56356.5,1358.36,-511.649,3549.38,141773,140035,-15421.8,65232.3,1.10355
446125,401193,89,264738,228673,87,20789.2,234063,42112.7,117619,2015.64,6428.83,6852.33,139736,101977,-15488.9,87247.1,1.13691
345230,303641,92,265839,225687,86,13351.3,197178,25919.8,92120.2,1487.25,2412.32,5054.85,223752,109356,-23615,69515.4,1.2957
282373,258476,94,136685,124043,82,10335.8,236802,9919.11,73293.8,-653.544,20728.5,3820.08,231167,94996.2,-20543.1,108504,1.30104
348820,308615,87,249345,221493,86,7205.72,70711.5,23381.9,25741,3457.23,4285,2442.34,131387,106006,-9896.37,132878,1.56392
340013,303356,98,246082,216828,86,14700.2,256425,66959.9,58959.4,3030.42,2277.69,4999.07,103251,114088,-12567.9,50969.4,1.59194
329506,282686,89,263655,227586,86,15288.1,205267,33840.7,61551.9,1061.29,4333.34,5521.24,192193,101414,-21051.1,45740.4,1.77876
430058,377722,89,280174,243724,88,19883.5,261983,27065.7,131991,1633.52,1215.89,5202.02,361061,149432,-37780.6,57698.7,1.82146
349083,305934,88,268908,222352,88,14002,245748,44776.5,82884.2,1940.47,2387.55,5386.53,216190,104682,-22238.2,87949.8,1.95623
337154,297084,99,235937,189741,99,10472.4,180047,28007.5,115777,6319.71,32222.6,4371.77,328486,71752,-34652.1,93852.3,2.06699
291238,240694,97,263850,225377,95,11165.5,190403,8941.7,75219.8,1202.27,48848.1,2724.13,306885,96432.4,-30624.2,80706.5,2.07633
258019,217498,84,317366,260769,87,10663,133695,22095.8,77045.3,1080.9,4461.71,14777.7,128604,47824.1,-14785.5,83125.7,2.18575
340127,298942,87,295119,252593,87,18930.1,279583,16835.5,92622.2,2110.15,-2595.71,10370,254097,132439,-22251.7,93871.6,2.30184
410506,355892,95,284535,245638,88,17716.1,286807,13898.7,102388,2940.92,3912.59,5757.5,212892,133242,-21726.6,73485.3,2.39525
343474,301678,89,224176,191814,85,12026.7,274617,21687.9,86390.9,2843.28,2493.78,4987.54,185852,109399,-20670.2,74471.6,2.39659
316924,291934,87,174276,162643,83,10986.6,229845,7389.21,115638,1506.85,4100.68,2336.4,298005,101559,-29578.2,80866.2,2.83427
392541,345018,101,229338,198713,86,22318.1,243290,8275.99,52773.1,3366.5,2410.96,2730.29,103833,102969,-11628.8,86358,2.87163
448969,366646,101,465869,380179,94,14087.8,386225,43138.8,85167.4,2412.15,-3468.64,9142.81,369707,170763,-35974.5,124644,3.07846
313539,291916,85,187161,170635,82,10688.4,166814,4802.96,46910.6,1580.44,13794.4,2283.36,227527,81652.8,-22274.7,54901.8,3.10115
404331,362860,93,295373,261960,88,13853.3,309635,12125.9,94508.3,2006.43,3752.72,5913.71,335115,147332,-35409.2,129990,3.14385
242662,220199,82,258944,233317,82,9607.96,242841,13571.4,52443,635.196,9463.67,4386.15,248381,68440,-26382.4,79568.3,3.15453
330584,297828,86,246416,215686,84,10848.1,217708,16448.1,101345,-911.725,18961.5,10010.7,224800,98383,-23535,73381.3,3.31465
294107,275090,82,178004,161889,82,9314.02,177712,9942.22,36616.6,1258.8,21783.6,2852.01,321065,80715.4,-32041.4,76661.4,3.45343
380360,317073,92,290123,224219,93,17970.2,340213,36482,79925.3,-195.731,1884.11,4424.49,281591,164554,-30115.6,71271.9,3.70563
331459,294228,86,296248,257911,86,15480,249023,116863,45649.4,3489.23,4366.75,4781.29,146504,101352,-15814.8,73641.3,3.81105
358744,323792,89,250932,224590,85,12578.5,226556,6458.77,67360.4,1704.38,610.239,3782.68,461164,100812,-50663.1,55964.4,3.81639
393810,352900,94,197355,171238,87,15161.1,218587,24770.5,103813,1896.97,1921.21,3091.93,211247,119289,-20418.1,87797,3.92181
368515,321497,89,336994,281202,86,14994.1,239066,58268,110421,581.938,4370.26,5040.07,164587,116285,-17557.9,64430.7,3.9912
192210,161116,84,302625,247402,85,10036,148280,37105.5,41320.2,1559.8,4077.85,3540.93,130710,57003.2,-12874.1,54881.1,4.1233
367575,325138,85,264307,226534,86,14860.9,244769,29187.6,86784.5,2035.99,3742.57,4741.06,225552,124551,-24696,42160.3,4.14999
397039,342770,93,241565,207934,87,10306.5,200758,20154.1,94649.7,2461.38,-1046,5302.32,189813,138411,-19084.5,77861.3,4.28743
353754,297188,90,432304,353592,91,23246.5,353823,10845,97903.7,2361.84,-226.208,8353.97,341694,191090,-37672.4,71395.7,4.45957
356384,321657,86,238931,211155,86,12180.1,231999,28059,88343.9,1573.75,21967.7,4273.04,191777,113484,-17952.7,69588.8,4.52629
450786,389970,96,363432,309162,91,22531,318904,29921.7,73702.5,2504.8,317.752,7517.4,174455,151701,-17706.7,95273.4,4.68242
363493,328912,87,302214,265211,87,13272.5,206768,26505.3,53692,2840.15,915.385,5210.76,182918,117535,-18828.2,89589.3,4.82119
366823,331372,87,259753,233749,85,16992.1,295735,11211.6,113376,2748.06,2307.54,5140.29,197221,113926,-20796.9,103453,4.8679
415776,367857,88,276531,241379,88,16910.4,243123,23593.7,71986.9,2076.75,9361.88,3176.89,144388,100698,-14412,116240,4.87457
