"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
334487,301700,86,212970,190136,84,9442.54,146882,10215.3,9356.77,977.775,-1281.28,3661.38,97943.2,100366,-7755.03,75421.2,0.0118553
393030,355399,98,221012,194196,87,9273.82,150705,19775.7,16998.3,3242.34,3800.72,2142.83,60336.7,79366.1,-4528.85,129355,0.0500559
394274,348360,91,252080,215241,88,10352.3,181850,27571.2,25387.7,2006.18,671.882,3180.08,165601,89735.1,-14732.6,77678.4,0.0513731
340528,313736,87,141415,127994,82,7325.36,131397,18789.5,22441.5,2440.55,1629.6,1686.67,98920.9,63301.4,-9273.08,93538.2,0.0566422
319840,293279,89,164604,151751,82,8783.17,171132,8399.79,30651.9,1956.28,703.682,2564.3,125801,91091.8,-12452.7,73510.5,0.0632285
327918,292289,87,227351,199504,86,6693.1,112187,20483.4,39739.7,1976.81,15791.3,1846.49,133118,71074.9,-13352.3,76296.3,0.0737665
328243,304448,90,168348,153640,82,7150.19,144147,7401.91,16718.7,2025.14,2246.84,2102.18,116482,61051.9,-9859.6,94025.9,0.0764011
346628,312547,90,214968,192489,84,9107.41,152280,6510.1,8999.26,3086.35,2208.64,2356.17,114708,80427.6,-7011.69,119074,0.0777183
377492,331298,89,332098,289921,88,12935.2,172258,9787.65,15701.3,4618.15,15542.7,3636.52,264148,108748,-28692.4,56442.6,0.105381
341723,302654,89,295187,257187,87,13485.3,195363,12418.9,16350.7,1266.07,13951.8,4280.94,145690,139686,-13161.4,88193.2,0.13963
410914,348386,103,264063,213759,91,15091.6,202870,16588.9,16833.5,3551.11,-74.8021,5955.61,112011,129003,-5746.87,91575.8,0.147533
346211,311539,85,199926,175072,85,7502.08,83850.4,10195.3,19856.6,643.018,22582.7,1317.63,146703,111950,-14662.9,108649,0.231838
326001,295924,86,189227,170652,82,6401.93,88421,6970.34,13077.8,1345.64,9503.08,1826.63,118422,111838,-8800.7,79602.8,0.241059
336865,305171,86,196829,177149,84,11974.8,220169,17281,29017.5,1841.33,9367.59,3903.2,114956,107730,-7444.86,80920,0.251597
345442,311707,88,274186,240914,87,12963.9,222775,12103.1,17696.9,1402.17,5875.46,4082.75,199841,107238,-16861.3,95723.4,0.251597
334917,306276,88,226903,206591,84,7652.67,115034,19241,20318.6,2818.06,3976.32,2133.91,128672,98942.7,-11882.6,82752.4,0.260817
359454,323085,89,216525,192979,85,11276.7,182444,15821.6,14982.7,3527.33,5020.19,3828.34,177030,113685,-14740.2,44397.8,0.268721
366151,325287,91,268567,236850,87,12268.3,198247,33668.7,14603,2704.73,12046.3,3413.8,135715,110159,-12508.4,73457.4,0.283211
318815,289079,83,180222,162172,84,6247.76,101140,37662.6,13830.3,2820.88,3732.73,2591.89,70214.9,54911.5,-7418.52,87758.5,0.283211
364246,325365,87,278149,243295,87,7637.68,72187.2,15116.1,31837,2032.88,1495.34,1638.26,79734.1,78340.4,-6087.53,64724.2,0.284528
398642,349170,90,253760,223767,89,12944,198673,11964.6,16414.8,3928.18,3962.82,3752.57,128614,114094,-8886.74,74589.3,0.297701
344427,305427,87,274823,238575,87,11426.9,205745,8206.18,17644.7,3923.93,573.603,4246.72,119486,90889.4,-8015.24,61293.7,0.305604
339318,312275,85,198828,183527,83,6314.83,97836.4,12556.1,19844.8,4322.64,3435.79,1590.92,132587,100163,-12333.5,148317,0.330632
351860,322548,87,200454,180844,84,11103.7,196147,4850.54,14228.3,2558.23,10592.1,3070.94,160022,90964.8,-12507.4,62386.9,0.353026
360270,322298,85,269166,234176,86,12933.6,192690,4647.77,10406.1,3396.1,46943.2,5865.14,198967,116312,-20265.8,138310,0.362246
372568,326343,92,260791,224622,87,7702.97,99884.8,15332,12354.9,1799.05,3635.69,1031.5,55862.8,69322.6,-4940.38,92127.5,0.383323
350985,313296,91,217922,197296,85,11777.3,209394,4592.89,10850.9,2820.6,7388.66,3597.92,162734,105133,-14150.7,88011.2,0.395178
343313,313021,85,188523,165671,85,10859.8,160679,11285.4,20474.3,2325.85,5919.77,4154.19,148366,106874,-13925.7,116601,0.395178
384162,326230,103,346750,289722,103,13640,184176,12967,23596.1,5005.43,8021.71,4318,187430,169623,-19883.3,75465.8,0.405716
363620,319814,94,238584,209262,86,12750.7,223355,11491.8,10046.2,4439.98,14284.7,4078.73,160928,115284,-12595.2,59222,0.429427
