"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
335080,309380,96,128068,116958,86,2116.12,60138,7142.66,5656.07,920.293,467.952,504.118,86739.5,13753.8,8917.48,74283,0.0149412
311176,288347,95,112590,105006,83,1431.99,73883.9,7257.45,5471.01,735.939,3748.11,176.877,141078,6068.47,8487.46,108037,0.0556901
263672,241449,91,167856,152347,84,3732.44,76139,8039.83,3445.12,2899.09,6569.57,1827.89,114374,22373.1,11393.4,77662.6,0.0611233
341133,312485,91,110095,101238,86,3073.45,77724.4,6531.19,4245.36,2146.98,2555.95,609.216,113945,18897.9,10392.4,88330.7,0.0964389
337293,312402,87,155101,141684,85,2130.56,58657.3,13526.5,7308.37,2027.82,8285.53,982.273,143277,21726.9,16054.7,36577,0.135829
316902,302751,87,112559,104853,83,2522.25,88714.2,5053.9,7802.01,2617.81,-342.835,1335.05,112845,23377,9572.2,108199,0.148054
300196,283743,87,99566,90706,83,2846.19,79132.3,12876.8,12625.4,2109.93,2119.64,1339.89,126196,24659,15767.4,68323.8,0.160279
318215,296894,87,118903,110610,84,2194.57,103816,6060.52,2946.05,2049.16,5320.89,769.166,152417,20866,15587.4,37447.7,0.17522
322124,300589,87,117738,108477,84,2907.36,59778.8,13122.2,3811.03,1216.43,5704.8,408.342,98592.8,21512.1,12413.5,101830,0.206461
301948,286852,85,101515,93365,84,2975.88,73941.4,8510.59,3407.65,1610.49,-619.516,1983.79,110070,24607.9,14211.4,82287.7,0.213252
228957,208860,82,148611,136451,83,3735.01,84467.2,11020,9230.95,609.416,13464.1,1963.75,90076.8,29256.6,21308.1,48579.7,0.214611
303575,276474,90,138435,127080,86,2738.37,72194.6,9804.81,6703.16,1522.16,4733.03,765.191,80653.6,6017.96,8184.81,78142.8,0.267584
331663,294842,92,129737,116195,87,3445.04,94538.8,11758.4,9812.69,1805.95,1637.23,555.56,76300.4,20291.7,11173.5,101196,0.268942
326336,298924,89,104094,95105,85,3512.45,67727.9,13126.9,5110.31,1484.31,3812.96,403.054,68220.8,14254.7,8337.16,100106,0.273017
330262,299200,90,153132,136871,88,2674.17,132362,10407.1,4021.61,2388.98,6368.58,2094.75,142212,31888.8,15787.5,99212.6,0.275734
307855,290143,90,96462,89914,82,1931.31,114541,8293.43,4633.81,2545.27,1344.42,368.411,183935,18627.1,10417.7,62909.3,0.285242
282891,262790,87,160449,133963,87,3147.23,88106.1,5752.59,4873.7,2479.89,2190.16,1342.02,108782,32792.4,11455.9,113157,0.287959
313181,291385,88,137003,127543,84,2995.19,72551.8,13679.4,10517.4,2275.65,4158.12,1293.53,151859,23176.8,7585.46,96154.3,0.289317
283635,257074,88,165891,154894,84,2226.5,95331.5,8248.73,3568.32,2165.69,3632.7,682.773,158730,21546.3,6296.35,92266.1,0.312408
