"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
355114,321111,88,295025,261203,89,6963.11,-2375.36,22731.6,31273.4,786.86,-329.4,2183.23,-848.883,29259.7,-633.09,0.00720574,1
222621,201981,85,249544,227384,83,2734.89,880.709,4712.91,40149.2,417.499,3046.93,1438.39,-341.981,26068.9,2160.95,0.0123527,1
323924,295904,88,357098,322997,89,3737.28,473.498,7745.76,28270,784.773,3190.1,707.979,690.42,24698.3,1060.56,0.0144115,1
346549,319123,96,307714,279607,89,5852.29,-2293.7,22407.5,35739.6,2314.33,-108.323,2441.82,734.141,21356.3,411.087,0.0154409,1
278327,264206,85,176743,165073,84,2090.4,424.288,6617.56,91443.3,2045.17,6840.7,1710.5,57.5452,16821,-230.708,0.018529,1
316765,289763,88,234668,205364,89,6736.46,-1586.27,6411.95,12277.9,496.858,6525.04,1421.53,226.116,19978.2,1670.8,0.0514695,1
322761,281487,88,342973,292749,89,3814.65,-653.237,8430.07,20141.4,2455.73,1934.84,4514.39,1241.92,10249.7,1069.4,0.0689692,1
332731,307629,92,277095,252166,88,2919.04,-1238.38,15087.7,27237.8,1529.69,216.84,2233.15,1124.18,22995.3,-562.379,0.071028,1
277741,259043,85,236999,215921,85,4127.47,-191.036,10343.7,17726.5,1573.45,2611.29,1159.49,-707.182,19011.2,736.504,0.0751455,1
266108,252388,87,121907,114731,82,2182.25,-472.349,5123.05,32971.8,404.919,6829.16,-261.535,71.1944,6010.52,600.823,0.0772043,1
329766,294798,89,322479,281176,91,3552.5,-1680.06,14577.7,45512,1021.8,9430.62,1110.22,-176.928,32652.6,-113.336,0.0792631,1
311913,268217,90,412977,351149,91,4998.03,-766.423,17142.2,32740,1551.01,3450.85,3338.92,319.288,30206.5,-980.917,0.0823513,1
341346,302148,91,282880,243812,89,2531.66,-70.6457,21465.3,26113.1,1038.46,4904.51,1656.16,-947.88,24017.9,326.224,0.0833807,1
