"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
414573,349583,100,356039,296339,98,12770.3,751.577,5030.74,91856.2,4994.32,5210.68,2745.57,678.07,39221.1,-267.431,0.00919909,1
350227,306381,88,270574,226540,87,4084.88,715.238,8089.67,42994.5,4456.03,9603.17,1931.05,-329.799,42537,3943.77,0.151274,1
325241,299259,83,261050,234185,84,2904.99,316.186,3985.26,68049.5,3181.12,9406.31,500.254,25.8398,26409.1,2485.57,0.152296,1
344051,312322,85,217654,190686,85,4420.1,584.768,5136.83,47429.3,5151.43,11305.1,1047.18,342.34,28710.6,24.0401,0.156385,1
393816,337532,103,291457,248690,103,4894.13,751.575,5506.08,100114,4879.07,18002.5,2294.89,829.081,49864.4,4802.33,0.160473,1
343708,311361,83,260775,234042,84,4257.98,1072.97,5734.47,36678.5,3542.74,8159.82,2609.2,-89.5858,35100.3,3195.99,0.174783,1
324993,293973,86,228744,205584,84,3457.48,238.964,5010.14,29998.4,3728.46,5153.2,2207.66,475.655,32640.3,3190.44,0.215668,1
318609,287190,86,250134,220689,84,4116.72,720.589,8300.5,99362.3,3208.44,19291.4,2196.73,541.969,43768,941.57,0.281083,1
375911,336308,86,260183,231924,85,-23629.7,847.589,6466.75,50931,5082.36,11024.5,1449.21,1076.71,32456.4,1381.1,0.352632,1
387061,323944,100,286594,232658,97,3951.5,-634.755,5087.59,64881.1,3234.44,20519.8,2372.48,-278.217,47702,743.699,0.361831,1
373567,333654,89,241566,213415,86,7049.73,559.288,5676.55,51026,4353.54,13081.8,1533.26,-519.713,33589.8,360.669,0.382273,1
338293,301199,88,285649,252323,87,3211.62,-411.037,11054.8,41476,3642.48,11089.8,1010.71,278.865,33149.1,-7.89717,0.421114,1
333538,297787,85,280785,237249,87,3296.58,221.434,5554.77,83187.8,2477.08,20247.8,2008.91,71.5279,33767.2,3175.52,0.435424,1
314926,279023,84,290757,254900,87,3316.07,341.973,10116.1,99205.8,2542.75,24755.6,4067.8,1864.35,42870.9,2088.53,0.474264,1
298316,273669,87,218032,195306,83,24719.4,1369.01,5409.22,22504.5,1798.83,979.082,3715.36,156.423,28193.8,3482.56,0.491641,1
371168,329647,95,326413,284945,88,4870.57,1087.4,3558.74,64961.1,4440.45,13075.6,3341.11,836.165,38850.5,2789.79,0.498795,1
402860,362447,87,289752,254702,87,5251.9,1309.96,5456.54,90994.2,4469.27,2976.88,1097.19,423.797,35533,-52.9701,0.546835,1
310343,287536,83,216451,195768,83,2359.45,137.35,7362.96,118511,2704.95,18945.8,1570.62,200.187,22515.7,81.2281,0.558078,1
371559,323493,89,291926,253100,87,4404.59,955.783,4321.51,58862.5,3766.39,13852.5,3337.27,-301.184,41662.3,201.327,0.567277,1
377793,344669,86,329455,297348,86,5146.61,510.803,10133,191955,6171.88,3440.3,979.486,-309.013,29930.8,215.171,0.645981,1
309085,274169,85,257426,229658,84,4413.64,-31.2306,1821.32,43193.5,3783.99,5512.14,2654.22,-791,36325,-15.7156,0.677667,1
375652,314412,90,283886,220725,91,6786.18,1542.96,6640.17,108088,4903.33,6377.01,2072.05,434.892,14062.6,4587.24,0.692998,1
338363,300899,88,260489,231735,85,3969.79,-328.774,5739.87,22614.5,2940.3,9150.8,4421.87,-112.578,37217.6,4069.19,0.707308,1
275838,241223,83,340615,290447,87,3532.68,-196.216,7140.73,109697,4145.45,10482.1,3474.48,-226.668,41911.3,103.654,0.730817,1
369278,328753,88,280326,245350,90,8102.98,-76.6183,6942.13,101650,5097.45,17987,2919.13,137.979,40932.8,556.113,0.815653,1
335833,302260,90,201401,177260,85,3048.83,-1069.03,5078.71,62383.4,4670.85,4810.32,661.454,567.232,29908.4,1037.53,1.00577,1
362243,326381,85,252209,221867,86,4177.93,492.793,10799.5,53448.6,5547.96,8451.64,3096.92,1613.99,43636,6.94631,1.07221,1
372442,324718,89,275716,231277,87,11647.4,585.545,5843.94,67320.8,4305.42,15794.9,1264.54,331.127,33601.1,-386.967,1.12331,1
