"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
424658,374284,104,244485,215549,90,2353.83,197.034,5235.79,44100.7,4938.67,6523.42,1156.79,593.058,2965.62,11407.4,0.0262068
442260,390919,92,207044,183564,88,3294.95,816.277,9065.74,46518.6,3340.94,6190.99,1419.14,-222.768,9977.88,621.069,0.0272148
434800,372873,94,234925,200022,91,2544.04,775.08,11476.5,77874.1,4328.6,4218.29,761.321,459.538,4538.93,1558.38,0.0332625
428068,380139,98,202933,179409,88,2431.33,148.922,3325.65,36489.5,6137.71,10810.1,640.681,719.616,1968.17,2915.65,0.0514057
401731,354735,102,203699,181699,89,4330.63,-1.28795,5246.06,28829.7,3679.12,20767.5,535.851,-53.2547,9020.5,2607.09,0.0614853
438418,373731,98,419339,364057,93,3272.94,379.423,13404.9,51905.5,9385.59,2666.17,1399.22,1487.77,18612.2,7122.93,0.0967637
480957,408375,98,252150,209178,92,3598.65,320.452,9791.87,43976,7098.2,7405.13,1618.77,627.578,2856.84,2838.37,0.108859
422721,370172,93,284817,249160,90,4620.1,431.56,11050.3,26622.5,6277.46,7525.96,-248.36,932.245,1412.13,8915.99,0.114907
425690,380610,92,258845,223977,90,3315.21,1166.4,14202.5,27242.5,3664.33,1098.96,1098.19,805.97,4202.28,2426.76,0.122971
364486,334772,91,169521,155169,84,2682.8,-58.0102,3559.76,36614.6,2986.59,18908.3,745.988,-124.956,1022.51,11947.2,0.148169
353104,320738,88,221360,201314,85,2138.93,434.054,12586.4,94148.3,3715.87,5264.28,2883.17,866.738,14237.3,2870.51,0.152201
335354,312935,85,164006,148081,85,2515.84,213.379,3241.86,41546,1960.76,8700.91,523.48,1659.93,8553.43,1274.51,0.152201
357220,324196,92,195600,168221,89,1725.61,491.947,8275.77,77253.2,4000.76,8896.75,1813.26,852.836,5112.69,7999.91,0.188488
394883,350297,90,221722,200199,87,29375.6,529.885,13754.9,14213,4142.05,2968.86,264.51,716.313,3468.27,12977.6,0.189496
447575,389652,92,285062,248838,88,2444.81,381.652,8630.15,60656.7,5127.79,7712.3,1954.45,524.43,18106.3,3619.86,0.205623
342675,320650,86,157904,143576,84,751.057,103.888,5187.81,46761.4,4282.79,4999.38,550.386,107.352,10296.3,5065.28,0.228806
433535,379346,104,294578,261288,89,3482.77,907.771,5802.71,67426.1,5867.26,2532.65,2112.29,888.538,7835.21,3941.93,0.240901
290215,241528,101,277485,237998,85,1131.66,-147.914,9908.03,10712.8,4379.2,2331.17,1089.73,677.301,3800.21,12654.5,0.269124
447041,394570,94,220018,193722,89,2304.07,409.028,12735.2,46693.4,5331.02,3987.43,1608.72,709.379,13739.4,6582.66,0.305411
392639,354404,99,216164,198729,85,1677.75,270.748,7281.02,9869.16,4381.16,4090.33,1175.19,824.447,3422.08,8249.94,0.333633
389226,346972,92,170182,149784,86,4166.91,-133.629,3714.84,46125.9,4246.14,6009.75,1766.54,400.05,10266.7,746.381,0.340689
404977,363668,90,195524,170859,87,3350.36,365.852,12249.5,39621.7,4497.38,452.905,1306.12,79.7025,13391.2,1951.12,0.353792
354002,314880,101,221067,202243,87,2671.04,369.781,5294.93,41957.2,5897.84,5490.72,2730.69,424.372,15994.6,10921.1,0.376975
433673,379607,102,223266,196767,89,2284.79,-53.2417,9264.25,94584.9,3770.95,4664.84,836.225,97.0872,3152.12,2690.74,0.377983
464479,396545,95,294590,252431,93,2202.97,363.323,6931.51,27360.9,6435.92,1005.26,2998.63,616.832,17174.4,2237.46,0.392095
462281,401391,100,215006,184718,89,2553.13,318.769,15276.4,18019.2,6522.12,1963.05,1716.09,292.367,16889.3,644.922,0.398142
421869,371264,93,256355,225517,89,2647.11,452.984,7717.94,111670,4874.91,21503.5,1635.27,938.261,6470.48,7007.64,0.402174
401315,361278,91,215069,192590,88,2297.22,369.919,7494.32,75507.8,5778.93,4035.43,1974.1,672.655,12746.1,621.44,0.41427
345830,317769,89,160601,146215,84,1386.62,73.5324,3405.41,29468.5,1182.54,10365.3,1367.02,236.954,7199.8,6373.07,0.424349
436664,382015,90,272367,237062,91,1785.82,317.611,9742.56,69324.6,4504.37,4477.25,1110.68,1060.01,11128,2121.53,0.437453
295325,265725,99,137432,122065,99,1109.61,333.008,3751.52,36566,2338.42,9711.31,1850.79,-45.9886,9895.34,26450.9,0.455596
343340,313039,89,119375,104237,85,5161.8,241.047,5987.14,40739.4,2956.67,784.732,911.324,191.739,10688.7,2447.29,0.465676
393557,349530,91,230603,202869,89,1914.03,541.113,3333.22,65501.4,3715.61,4297.37,1163.5,-17.1802,16796.2,1006.62,0.478779
307296,291171,86,130376,123996,82,1184.77,21.1731,3387.77,33189.6,4412.43,872.401,856.702,612.981,7412.84,5845.04,0.510026
373756,338292,90,217668,191121,88,1755.42,455.997,4496.05,59289.3,2848.63,12739.9,1040.89,-266.229,10459.4,813.761,0.517081
406501,365004,93,244352,214962,89,2567.53,422.245,7545.02,57215.9,5089.76,12046,33.6108,-221.679,12446,6151.08,0.540264
525671,420706,104,366828,301347,97,2553.92,639.383,11402.4,62090,5656.13,12740.7,1975.65,1659.87,7295.72,2367.92,0.541272
428134,373767,104,217153,187965,88,5344.7,233.802,7027.08,17092.2,6179.76,13084.2,1819.38,171.22,13426.1,10131.9,0.573527
391708,351574,89,224968,198851,89,3418.64,334.836,4595.58,93967.4,4778.68,12661.3,733.39,-392.055,4131.35,1563.23,0.655171
416926,363973,95,214407,185334,89,3194.99,-113.882,5569.98,117676,3051.59,3633.12,762.407,-565.316,15342.1,926.021,0.672306
383351,330190,89,276222,240506,88,41340.8,295.575,4361.95,17231.5,4349.08,3676.1,1513.25,1026.88,24339.7,1206.17,0.682386
405758,359320,92,177156,151517,88,1640.83,0.0776377,4323.05,78643.2,5156.97,22029.9,717.085,-43.7836,6596.54,2481.04,0.711617
388581,353025,87,167146,151010,86,2240.75,344.698,3658.86,91676.8,4969.84,10536.4,659.68,461.88,2764.57,845.791,0.712625
426298,369842,97,247824,214652,88,1819.15,215.869,7581.17,111189,3447.58,26592.2,1398.51,703.778,3505.03,293.366,0.732784
448611,398717,92,254605,229583,88,6223.76,558.647,7037.47,89638,5037.33,18994.4,538.9,-56.2484,13196.3,168.889,0.744879
377345,335410,93,219195,196197,89,2028.54,217.302,9981.58,71383.4,2616.98,17881.6,1032.1,832.492,11468.6,854.622,0.770078
