"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
446190,392838,93,302498,267457,92,9405.21,69294.7,7163.03,88696.7,3895.77,7182.06,2034.36,26167.1,32724.8,3963.82,0.00201229
448209,389955,105,262950,232811,90,9394.37,52459.4,19122.3,75527.1,6539.55,5463.41,5081.84,27830.2,42877.1,21534.9,0.0120737
439356,390349,92,235945,208685,89,7369.04,56600.8,11669.8,89642.3,2440.05,10861.5,2846.11,36773.4,27328.1,6149.85,0.0332028
443883,381290,101,336181,289258,92,9254.36,57596.4,9993.63,57640.2,4133.42,7820.57,2968.6,33979,32064.5,4012.69,0.0533257
481121,407659,105,281085,233924,93,7146.8,43852.2,13039.8,26252.6,4652.36,2416.57,2437.19,71290.1,34948.5,1879.95,0.0885407
461803,400719,95,290418,249707,92,9576.28,34585.2,9129.07,19053.8,5753.76,1252.11,1890.59,41851.2,25580.1,667.56,0.090553
314021,285923,88,181865,167719,84,6408.92,45211.2,9419.43,78028.7,4110.88,5629.28,1907.94,13177.5,27572.5,5374.33,0.10967
422035,382151,89,249028,229145,88,10166.9,33893.5,13377.5,42905.3,4866.94,2589.8,2814.79,19127.2,28522.4,9826.52,0.113694
415981,375207,93,228128,206377,88,7475.54,40875.8,5636.89,80504.5,4715.37,12710.4,1273.99,20459,23835.6,3831.38,0.115707
477319,401018,108,290124,239446,92,5572.52,33377.6,8396.88,92369.6,3557.72,131.772,2023.36,42460.8,9991.28,1715.67,0.132811
420592,370880,91,235103,205381,88,6984.43,64811.3,6448.57,76173.4,4518.5,8742.76,2092.66,23525.4,25078.7,376.538,0.133817
394704,355637,90,209188,189760,87,4238.99,34463.9,7644.42,109528,5945.49,17959.2,1925.62,22723.7,20888.2,1950.51,0.139854
452147,389894,96,286025,248079,93,11702.7,37244.8,6942.26,55902.3,5776.5,20077.1,2010.66,8408.16,34416.2,1409.11,0.166014
427968,380931,92,227182,200142,88,11918.8,63884.1,4883.19,10200.7,5928.77,1008.63,4546.01,39594.7,30301,1001.89,0.171045
390846,358151,101,183387,166499,86,7141.39,33762.3,16173.2,26846.2,3297.28,8077.99,1933.45,26722.8,25783.3,1197.63,0.1801
383176,352216,90,179521,157844,85,6215.85,28381.5,6669.38,43019.7,3730.78,9376.59,1775.77,19633.6,15900.5,1519.51,0.184124
464183,409415,92,286576,253310,90,10366.7,41187.2,10275.4,48272.7,4446.38,4345.61,1663.14,11725.7,25126.6,5600.08,0.190161
348863,319883,90,149640,137499,83,4815.09,37821.9,6017.89,42245.1,2486.87,791.747,1581.9,16186.9,20397.4,7705.91,0.205254
431186,373365,105,279070,245510,89,11011.3,47730.8,20998.7,95378.6,5709.4,15498.2,3081.16,22304,34199.3,8595.04,0.209278
413568,374634,94,216006,194482,87,8204.4,38819.7,8423.97,101672,4307.03,9599,1738.09,17391.5,26738.6,7575.33,0.229401
472239,404690,101,337799,288162,93,12164.8,54182.3,4966.28,94610.4,4258.83,12670.7,2575.35,26694.2,33657,344.84,0.297819
405478,358575,93,281239,248694,89,9455.21,73417.4,9970.53,91417.2,7113.59,5753.4,3386.7,35754.1,47167.5,5536.24,0.305868
526023,448609,98,330906,284842,92,14395.1,67746.9,8884.41,27750.8,5669.66,2514.5,3355.91,43522.3,41151.8,2171.04,0.346114
448980,393494,93,243847,211784,89,7540.22,41472.9,11437.8,56286.1,5853.88,2496.26,2573.27,31175.2,31728.4,5026.7,0.34712
390872,354410,91,251228,226256,88,7294.59,36684,6352.16,95065.1,5411.68,45579.1,2243.19,16984.5,28579.9,424.024,0.366237
438381,372664,105,320999,278674,105,8018.1,43242.9,11520,97651.3,3635.98,4950.08,2456.19,13692.4,31891.5,463.298,0.368249
429900,372869,95,234856,206224,90,8335.12,31868,6382.53,59851.2,4034.97,8036.97,2832.38,17714.1,22361.1,655.849,0.375292
354031,326423,87,130506,120321,84,5490.51,47966.3,3408.82,29135.4,4156.16,1137.9,1566.4,18125.7,19872.8,6946.47,0.452765
375459,337535,94,188492,169097,87,6406.4,36483.7,6206.42,64828.1,4850.89,14305,2981.6,25725.6,19285.5,4214.1,0.524201
319259,302805,85,106049,101435,80,4350.87,26145.6,6466.57,21847.7,1959.86,14008.2,334.445,22318.1,17003.1,14965.8,0.52722
342207,315409,87,139042,125631,83,4075.59,37543.6,3679.32,38789.1,3555.47,16599.8,163.363,24474.7,17668.3,10581.2,0.549355
391525,319223,97,195215,168108,90,5819.3,33923.9,5689.45,96572.7,2036.49,20595.2,3350.21,25036.3,23286,6642.6,0.573502
448494,384033,96,252932,216566,89,8019.23,44523.1,5717.35,67272.6,4441.3,13976.9,1807.94,33254.3,26818.2,143.542,0.596644
368056,334161,92,167041,146319,85,4945.7,36777.2,3254.6,13861.5,4168.93,13427.1,858.534,28876.4,16719.7,25011.4,0.612742
402113,361991,95,226504,207890,88,6430.25,45534.3,11059.2,81691.4,3319.69,28839.3,2001.7,46098.6,26760.1,507.131,0.62884
379413,334948,94,295124,255513,89,5461.37,50142.8,10098,120326,3828.34,21133,1347.09,34865.9,21798.4,4409.2,0.642926
473239,411865,101,238092,206311,90,11822.5,57516.2,23589.9,22948.9,6614.25,2344.79,2090.87,38017.8,32441.7,14583.7,0.648963
411044,364976,96,242585,212706,88,6149.81,49941.9,6819.38,77336.9,4939.85,1558.32,1984.59,37901.6,26640.5,496.181,0.680154
432769,388628,94,291020,264653,89,11567.8,48741.1,20012.9,25777.4,5984.44,2663.5,2041.28,21400.8,33620,640.703,0.685185
384921,345786,97,172733,158061,86,4520.21,29662.8,8180.33,44694.1,5574.81,5213.28,1298.48,6562.12,14154.7,7920.8,0.700277
327041,310797,85,121434,117407,81,6021.72,45424.3,4032.11,13519.7,3854.19,2038.88,526.928,16430.3,20976,3240.36,0.703295
429413,381587,96,220521,194373,89,9064.55,38742.9,23938.3,19196.9,5516.5,3688.88,2585.63,30187.1,24788.8,14189.9,0.719393
442332,390967,91,206136,184339,88,8567.51,40313.9,13207.5,48747.4,3447.94,5070.08,1957.67,16520.7,27751.7,4155.63,0.747566
409511,368723,92,230488,206992,87,8640.42,36385.7,5730.85,89146.2,3429.22,781.819,2574.25,12240.2,24005.1,1129.56,0.752596
325624,296562,91,147217,126385,86,4167.21,31022.9,6246.85,44585.4,7803.86,8607.8,1846.57,16156,22707.9,15812.4,0.759639
393585,358370,92,145590,131500,85,7518.45,46338.5,14366,17394.5,3290.6,525.846,1382.21,22918.9,25617.1,6019.1,0.763664
426539,377359,94,220184,191550,89,7226.45,44450.6,5227.26,67364.3,5715.11,19605.1,1960.68,41565,25355.4,902.785,0.804916
