"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
375319,330749,91,301566,270257,92,11506.1,44007,5622.44,21789.8,7257.3,1743.55,2040.65,119961,43657.4,3293.41,0.026204
472110,399317,100,303517,251299,92,11646.9,53853.1,7492.6,57119,5102.06,2943.84,2117.67,103871,43538.1,3119.7,0.0836513
483381,421278,92,288007,255080,92,16107.8,75324.3,5100.24,14623.8,8002.83,1279.21,1188.67,64813.5,49276.9,3511.81,0.111871
484124,418423,102,300545,268535,92,14653.7,46410.9,5768.65,13523.7,5710.96,3378.08,1880.11,70216.6,46558.8,3549.23,0.118926
285086,265212,86,88157,81615,79,1749.74,14270.4,3630.49,9929.45,1621.6,4405.86,779.713,24141.6,8136.02,29574.5,0.156216
428211,380508,94,274576,243570,89,9842.64,46404.8,6444.69,90420.2,4859.47,3028.35,651.14,58371.1,34474.4,8457.24,0.229789
446594,388143,95,215933,185291,90,12143.2,43937.4,10797.1,37612.2,4753.78,5084.31,2093.93,71390.3,31016.9,12758.5,0.243899
510822,430140,100,297307,255837,92,13604,52963.4,9423.17,30492,6660.29,464.292,2934.37,123113,34430.5,8095.09,0.296307
414250,380080,91,229618,213890,87,11118.8,43269.8,4163.07,32999.2,3704.49,4752.28,1331.03,36582.6,33034.9,693.269,0.299331
484259,423218,106,229441,206393,90,12546.9,52514.3,9171.98,55819.8,5855.28,4267.28,420.089,85932.2,35751.2,1799.2,0.343676
582411,470850,100,260247,211856,94,11513.3,53250.5,5727.5,27959.1,9439.02,10861.7,2238.49,104119,32019.6,9098.03,0.441437
