"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
374161,332848,86,295343,260348,87,5106.65,2046.77,37690.1,71928.8,4386.76,13850.1,3194.4,695.842,38525,242.467,0.0337684,1
388162,340133,90,282760,244014,87,4341.09,2934.39,29389.5,80959.8,5999.42,10612.7,1765.58,1270.51,24251.8,2299.98,0.0774688,1
390492,341435,88,271411,227313,88,8145.4,4306.26,73122.4,55736.8,4716.06,1303.09,3235.03,-258.047,40589.5,-807.073,0.106271,1
359033,322375,84,264879,232419,85,4488.93,699.368,18808.6,47917.2,4645.14,21522.5,2738.66,180.09,24144.4,395.196,0.124149,1
304976,273167,83,255364,220294,84,2992.31,5095.2,78715.8,101247,3227.44,7485.07,3993.04,59.5942,26941.7,172.314,0.168842,1
439742,396883,87,269878,241201,87,5170.51,1910.44,38498.7,76625.8,5362.35,8625.78,1380.09,2348.37,22556.4,-828.03,0.195658,1
376435,327124,90,263671,220780,88,3898.2,3548.01,55059.5,99299.7,4402.51,5273.13,7650.53,911.962,48055.2,-706.909,0.253263,1
376110,321371,102,351437,301719,90,5866.77,929.833,9750.02,88838.4,3541.07,10296.6,3904.67,993.54,31462,24.6598,0.256243,1
440694,400488,88,218102,189295,86,6432.53,2326.35,16287.9,88379.7,6007.37,552.617,2283.53,1503.55,17402.2,642.112,0.266175,1
420172,373905,88,272941,235753,87,13572.3,1235.05,13704.8,42909.7,3180.43,10327.3,587.118,402.135,12531.5,-326.61,0.266175,1
240002,215777,81,196008,174269,81,3898.47,2031.21,8648.1,21721.3,3199.4,1473.33,1477.85,404.534,24986.8,1367.44,0.276107,1
322719,289826,88,306783,267031,87,3279.71,1866.98,41189.7,126378,2140.43,1015.72,5593.12,515.213,22905.8,218.935,0.285045,1
344482,309700,85,262399,230550,85,3455.07,1315,57592,56536.6,3704.5,-929.656,5331,1111,20593.1,24.4267,0.291005,1
338869,280909,99,333775,264354,90,3866.46,2932.47,61656.2,100716,2650.91,1451.45,7915.69,536.663,45840.9,-891.488,0.291998,1
320944,280184,87,307066,264933,87,4159.46,607.636,27043.5,89512.4,3543.5,5215.16,8717.41,52.7455,49452.1,505.525,0.347616,1
304715,261805,88,254882,214297,86,6098.75,1524.57,19445.9,51722.1,2798.99,26380.1,2638.61,524.206,42758.3,1354.28,0.357548,1
290652,253234,87,256483,219089,85,1894.31,1173.21,19474.5,71590,2355.14,18989.1,3179.89,231.974,27595.5,2068.96,0.400255,1
344550,309600,91,247769,219923,86,3543.67,2830.03,54002.6,68471.5,2823.99,5568.16,2502.93,960.716,39144,-417.44,0.471765,1
392638,348468,94,247659,218851,87,10137.9,33.1625,16263.9,85296.8,4431.36,1975.3,2371,-420.395,35552.8,1014.56,0.498581,1
427573,380026,90,287184,251971,89,4634.45,1270.58,8928.51,76527.1,5113.87,3272.56,1826.4,837.424,20088.6,-244.414,0.602866,1
358224,315533,86,327577,273957,88,5268.12,2281.28,32694.7,71388.6,4229.5,-184.578,6491.9,362.457,54661.4,620.625,0.658485,1
363497,319593,97,227042,194922,88,11401,89.0457,30788.9,68221.8,4216.74,7912.09,1868.18,1012.01,28680.1,-688.358,0.817395,1
334266,290816,91,335820,295659,88,3431.56,1990.64,22920.4,93092.3,2864.04,1649.77,12565.7,580.565,45345.3,2321.01,0.840238,1
327190,299113,84,180937,159069,84,4475.88,2627.5,26328.9,29121.5,3826.67,631.842,1960.04,133.038,24870.4,757.826,0.914728,1
294060,266588,83,380036,285851,97,4427.23,2726.2,43432.8,107331,4855.92,5827.12,3695.3,471.409,35151.8,88.769,0.935585,1
381774,347205,92,203136,185216,84,17773.9,1749.66,19099.4,44194.2,2364.18,3562.55,1473.49,372.525,25337.9,-535.141,1.02696,1
382110,335532,94,288020,254230,89,3642.45,1124.84,35702.6,59366.3,3235.83,3897.37,2839.57,726.319,41243.3,650.013,1.07662,1
324316,290944,87,317833,281537,85,3234.95,369.576,19211.7,40635.4,3828.48,437.172,2010.26,334.159,21352.3,-250.76,1.17494,1
367205,328288,90,294352,254856,86,3846.38,4378.38,66830.1,81820.1,4299.3,11541,2826.61,792.982,30876.7,-844.822,1.23851,1
281826,247822,86,269794,220706,85,6363.81,2192.16,48807.8,79414.4,2353.51,699.649,2949.85,127.77,42859.6,745.784,1.2395,1
370577,320903,90,325142,281538,89,4649.64,-249.624,38833.7,95696.3,5281.46,-313.778,3743.8,160.697,42939.9,857.675,1.24645,1
276220,264858,80,145245,135164,78,1684.04,1196.79,9809.77,91420.9,1700.21,43212.7,478.629,201.19,15168.3,2493.3,1.27029,1
290376,269385,82,193089,175609,81,2023.36,1600.81,6198.81,46189.9,1714.06,18098.2,1259.01,-158.942,16936.2,1704.74,1.30604,1
