"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
503379,424355,100,336884,284451,94,17154.9,480.75,7361.34,23555.2,7067.11,772.932,929.333,1412.82,4184.67,-15.1162,0.443274
413941,354349,98,255520,223822,91,9175.62,378.912,5610.38,10916.9,4967.51,8989.15,542.069,796.095,2307.4,13177.6,0.772991
490422,413595,107,357300,306420,94,9912.97,619.771,5598.53,47268,6976.24,3425.49,1146.69,2007.05,14724.4,8709.49,0.867622
376832,330989,98,186612,162599,87,5737.7,314.638,3877.59,31466.4,3851.17,2661.47,2000.08,845.456,2195.6,2290.04,0.939343
455576,384665,104,333880,283780,91,3518.65,477.1,10038.6,94594.4,6873.58,4980.1,1128.72,550.209,2372.49,1551.75,1.05589
451956,381386,99,380066,323967,94,4683.42,393.04,3967.92,72014.6,6030.67,14122.4,462.913,1401.56,1900.94,4536.39,1.11466
503162,415866,104,354663,291113,93,4453,356.583,7007.09,60293.8,8889.78,4102.45,3025.65,760.136,12876,7065.39,1.15052
421491,357469,92,422645,366291,91,3551.87,325.616,6001.51,58414.4,6850.96,19299.3,1372.4,698.692,17901.4,7954.88,1.51012
454731,390705,95,330233,278052,94,3276.77,331.941,6822.11,19354.2,5009.96,2284.23,980.493,1819.67,9695.41,7450.05,1.51411
392234,339513,91,334003,285481,90,5385.89,231.991,4089.29,11352.1,7273.74,1999.96,812.479,227.805,3511.22,4116.33,2.01017
442574,370103,106,287771,237917,91,5681.88,590.074,3873.87,48117,4507.1,3304.51,1316.58,423.625,13834.3,3198.77,2.18848
462488,376836,101,312887,257292,93,4109.23,642.531,7622.42,70772.5,6103.76,3283.86,2576.04,-48.4842,15946.2,2955.55,2.45046
452120,384204,106,249784,216004,90,9067.86,-169.202,3183.26,33806,6364.04,3143.67,1979.35,1903.21,16979.6,3927.48,2.50126
380614,327522,102,263038,230239,90,5298.13,141.307,3295.81,41770.6,4882.78,4496.24,595.075,-90.1874,3614.91,3779.92,2.81205
497568,411738,108,366949,307410,96,8346.28,898.767,6423.93,71161.3,8610.43,5862.64,2196.48,1062.01,16263.8,1506.38,2.84094
419202,346737,106,427652,364648,93,3125.14,285.819,3779.8,25768.4,6414.24,1839.08,1347.67,173.659,3000.98,1526.14,2.85887
412906,353405,93,300528,263671,91,2372.65,680.153,8043.07,45235.3,5755.82,3856.01,2281.4,1826.42,18694.7,6404.58,2.88178
469787,389575,98,332914,288387,95,5796.97,-49.6393,4062.39,44001.6,7611.94,27770.4,2329.03,1407.62,14553.6,693.633,3.02821
307378,256235,88,261975,219674,90,1716.03,777.381,4156.05,30387.5,2877.2,610.296,12489.9,1301.2,4814.2,4782.52,3.17962
398620,348800,95,353148,325661,89,5044.02,442.44,5819.52,16616.9,4010,17550.2,939.185,785.432,4080.67,2108.86,3.60198
373469,297795,96,333608,251423,98,1368.96,546.821,5896.3,11516.1,8640.64,9871.03,2267.1,3344.61,7082.87,4583.74,3.63485
414790,362085,91,343238,304451,91,3437.77,241.846,6213.15,56643.8,6288.92,1831.51,1727.89,1711.01,2859.07,7788.27,3.72151
387024,333915,104,246091,211686,89,2205.22,-59.1564,6577.03,25059.5,5815.69,7713.33,2165.46,2429.74,15511.8,4348.22,3.8789
346574,314021,89,208482,126893,83,1462.74,1802.79,22042.1,10717.5,8211.86,1594.48,1297.77,1368.2,495.921,-515.479,4.12195
402933,346378,92,263014,222452,92,2910.98,666.048,5063.34,25237.7,2038.25,2808.83,1377.89,1247.8,5201.15,1266.32,4.13192
449146,384553,94,354350,305118,91,3944.37,2.71705,3503.86,14699.8,4051.8,929.193,1257.98,2676.66,13760.2,4801.5,4.28831
434918,368427,93,335322,286225,93,9695.5,394.638,9881.88,60123.2,5046,3133.15,1967.71,1043.03,4108.12,448.794,4.35206
426930,356431,97,313333,265684,91,2640.55,88.2798,3815.25,40063.5,7552.29,1183.02,1190.81,702.135,4855.42,1756.2,4.42976
425341,358466,97,368871,317413,91,5805.15,580.505,5197.65,64807.6,9437.02,12531,1555.37,163.818,6332.15,1250.36,4.45167
334907,287760,88,305648,265875,91,5006.65,365.153,5447.83,19926.4,6115.35,15352.1,771.372,-382.05,13769.3,4187.35,4.45864
385198,333233,94,262116,226082,93,3285.95,176.218,6444.43,32327,7272.71,10196.8,1318.56,1183.13,3241.02,6887.91,4.52439
411150,334603,98,306583,255028,93,3861.47,466.447,12399.6,38840.8,4504.26,1021.85,1491.6,442.714,1290.15,7061.02,4.69672
382077,323387,90,298963,261609,90,2389.86,794.443,6908.91,52227.3,4902.02,2736.68,3661.88,-3.73277,22731.9,5267.97,4.74553
419206,337063,96,389881,319774,95,2584.58,894.053,7626.09,48138.6,7692.32,2774.63,3123.71,318.845,22795.5,515.015,4.78836
389895,341692,94,299147,262418,91,2197.8,601.381,3212.38,93471.5,6672.4,2470.17,1456.33,686.789,12625.4,1212.26,4.88498
349684,319577,87,190755,174184,86,3089.04,253.436,3850.95,14164.6,5330.54,6173.89,731.944,1174.31,2096.2,3815.55,4.89196
352894,307927,86,377591,304214,91,2644.98,367.744,4258.36,55640.2,6754.51,2515.04,1160.13,484.624,2745.38,3202.89,5.06429
487730,395283,97,336803,281474,95,6106.15,343.382,14863.7,16033.8,8451.23,2750.65,2543.7,569.139,25967.4,1207.8,5.15493
350062,309615,91,200142,176243,86,1484,29.3263,3775.44,103286,3786.69,10946.8,1321.57,86.2957,3389.45,56.4833,5.19876
362590,320995,91,209214,184335,87,2792.3,92.8036,6902.71,43235.4,4474.51,2050.92,1246.95,1367.28,16524,11206.3,5.38803
466154,395157,95,278815,231245,93,8133.78,320.477,6251.11,48262.1,7383.14,46282.8,1839.34,-356.799,2895.73,3101.17,5.41193
435674,360422,94,368558,312553,94,3102.53,510.824,7095.5,57251.9,8706.7,1268.17,2545.82,783.877,20487.4,1995.81,5.80142
368443,321994,99,269192,233488,96,2266.72,352.629,8564.07,17821.6,3258.08,20190.9,-440.464,643.332,2804.29,4890.85,5.83728
409110,343781,91,380672,328757,93,3353.12,406.946,6359.22,63307.2,6958.4,4014.25,2531.06,1092.9,14544.2,247.235,6.14607
447354,375613,102,377397,332461,92,2918.09,491.534,4233.45,10912.6,6661.37,1205.8,1502.71,1557.64,2522.3,4902.13,6.26461
451891,393919,90,284084,251340,91,9070.12,329.589,4568.16,24179.2,7102.82,1786.94,2259.56,-72.394,15254.3,3645.93,6.63119
395841,325268,97,320233,262527,92,2559.49,593.234,8438.7,71303.5,6461.16,2879.25,1953.67,1032.31,17683.6,8458.02,6.72781
410914,335568,93,302602,244156,94,4304.37,-26.5386,5350.75,49375.2,5979.19,3520.65,1957.26,1410.87,1434.71,1240.4,6.74773
389397,334952,96,297053,261130,92,5015.5,129.852,3955.05,30859.8,6386.79,1188.22,2192.16,1459.23,2507.17,796.585,6.86328
376973,332376,95,304020,277825,89,-2992.48,-39.4853,3283.44,40247.1,5884.3,6066.15,1558.26,775.599,8057.19,847.965,6.90811
316787,281070,92,243383,214810,88,1932.83,111.651,5633.92,28397.8,5561.17,7839.92,2201.01,495.468,5470.28,2748,7.06749
392772,307459,99,398624,309791,97,2830.03,228.266,3268.27,55677.8,4361.67,2417.55,919.003,340.383,3344.37,532.505,7.17407
399349,342898,94,244162,216162,89,5417.4,840.491,4687.09,27068.6,5066.12,3168.42,1399.51,705.066,3955.45,1883.52,7.18105
388552,351142,86,218311,202365,85,3611.71,401.175,3514.53,59268.1,6208.23,7945.47,1812.07,1086.75,8078.71,1643.29,7.22587
370182,311628,92,289950,247485,90,2384.02,593.063,5167.51,96166.3,7332.67,4667.21,2296.38,913.182,24333.5,1226.21,7.29958
486844,404607,98,299850,251563,92,10936.1,386.776,3591.55,52076.6,6376.18,49880.6,59.8787,1691.1,14453.2,573.488,7.42609
367224,318935,92,203079,176461,88,4740.35,171.467,4869.87,35598.4,4338.91,18594.7,1805.24,-129.115,10484.6,2036.11,7.45199
424325,365827,96,312932,273732,93,3731.6,403.775,14404.1,28646.5,5975.17,1678.53,1236.28,560.718,4046.55,264.261,7.5536
392941,336176,91,249187,221244,88,2134.75,34.542,4071.4,16222.1,5594.47,1689.5,1238.31,807.084,6328.69,6722.75,7.66815
417389,367922,91,250456,223088,95,4740.69,535.54,3462.71,61950.4,7487.8,1561.46,1038.65,1636.7,11881.5,2599.61,7.71596
397884,326580,90,405955,338855,94,6822.45,643.044,4778.25,55708.6,6618.62,3186.76,755.078,1485.26,1926.28,504.389,7.81657
387033,327468,93,321689,267266,90,2146.85,44.9632,3454.79,84772.8,5472.35,781.745,2199.74,1265.32,18572.1,1141.48,7.93013
388554,318218,94,338388,282439,93,4085.08,468.287,10887,68517.7,7132.77,1114.31,3986.09,452.654,19852.9,1874.72,8.07058
469359,370477,103,391475,315216,96,6625.31,789.524,5103.48,49688.2,8571.38,1378.82,1845.65,922.38,20511,463.739,8.08353
520445,420788,111,404585,327304,97,5352.68,1057.78,25733.9,69005.7,9298.11,3717.09,1400.27,1236.83,12700,627.674,8.22697
415976,354673,94,285136,246412,90,3788.35,-250.082,3907.02,73360.8,4612.5,2049.13,1039.39,1571.2,4837.54,2941.3,8.28475
264291,234815,85,317683,290514,86,2009.24,320.609,5577.36,12295.3,3033.45,454.766,2028.6,1221.21,12485.6,4229.64,8.48497
560218,389652,104,334241,259841,99,4069.56,268.856,10227.9,14630.2,4306.7,14680.7,1754.76,1265.3,5342.34,2700.9,8.5039
391922,332433,95,374477,324826,95,4320.02,-173.301,4445.85,39533.7,5635.05,982.105,1426.69,735.467,14470.5,2895.76,8.56067
432934,376120,96,255344,225627,91,2554.7,226.181,4840.85,39965.2,5594.81,4809.79,1736.51,808.937,9633.65,704.747,8.66527
369477,317150,92,237020,204684,89,2905.85,477.24,6724.79,51480.4,5984.67,1292.5,1683.48,840.735,18496.6,5341.37,8.76588
388925,332842,95,305083,271542,89,2679.75,-143.353,4383.02,44853.6,6446.47,1945.71,1434.66,679.294,19289.3,5718.52,8.90135
419779,324582,107,447077,356144,96,3134.09,2660.82,18009.9,91317.2,7093.87,3163.17,3327.43,897.495,19939.8,4040.43,9.02686
338161,271711,95,400468,336766,93,3215.21,762.385,9399.34,45590.1,7198,1306.95,2219.31,667.087,6055.64,5368.08,9.06073
487761,405636,109,305478,257169,95,9066.75,442.467,3604.16,19026.2,7659.87,1817.78,1473.82,997.998,8509.33,324.49,9.10456
408305,354045,91,295904,252877,91,3565.81,166.262,3421.17,32374.5,5390.18,2358.21,1885.06,326.538,12310.6,2485.98,9.16831
360351,313019,90,234272,200444,88,2675.09,306.928,7607.62,25916.5,4646.02,3148.6,2894.28,725.089,11203.1,6051.4,9.34064
370891,321030,92,251817,226283,88,2138.27,-98.6574,4033.19,44588.4,4017.88,459.75,2139.59,80.8168,11644.9,2990.15,9.46216
394897,337897,93,266764,237796,89,2100.64,316.037,6397.29,28040.6,3533.32,1837.78,2038.4,1475.17,12925.9,504.886,9.66737
418984,358767,92,277241,240630,91,4347.12,570.363,7468.33,34679.3,4856.14,1998.89,1537.6,321.612,3375.39,4778.68,9.8118
322553,273236,89,262150,227100,87,3377.65,20.16,4260.9,15056.7,15313,12068.8,1027,2220.67,12957,3981.56,10.0559
477686,384895,103,379508,310757,96,12895.6,273.131,3461.81,61718,6157.35,2676.05,814.128,2320.46,4962.3,24.1471,10.1067
398118,341285,94,366416,320856,94,4033.92,340.108,3188.12,48702.9,6400.67,2999.84,1796.76,916.078,13877.4,388.683,10.2053
371589,321457,94,224956,192215,88,1119.42,311.469,3831.5,62087.4,3121.81,34893.4,1382.11,-95.8646,11144.3,2967.09,10.2929
429974,369020,94,230988,201294,92,2102.92,415.176,4765.44,47639.4,4150.42,6701.71,700.062,1876.63,2628.55,480.585,10.4961
414379,362170,92,315834,283038,92,11164.2,438.072,5955.94,16276.6,5704.86,2814.74,933.151,1613.02,2954.16,3643.04,10.5459
401607,341280,96,305907,261780,91,4855.11,307.95,7323.63,72745.1,6011.72,2441.69,2518.11,-120.72,17307.5,656.726,10.5878
434830,368948,94,421777,364649,93,2641.78,177.89,6553.62,59041.6,6997.13,3571.61,2615.31,1899.53,14067.3,8615.71,10.7053
418623,360702,92,310747,269651,91,4706.28,523,6691.11,68299.7,5333.06,2174.98,1970.12,1029.78,15102.2,7980.72,10.782
668872,481901,113,423085,306884,109,3834.53,381.134,7758.83,25946.5,8647.97,1808.34,1904.96,2467.78,16102.3,1604.66,11.0261
276203,236150,87,191492,157135,86,7568.73,675.96,7752.33,34998.1,352.01,1822.75,710.057,73.6332,1795.45,970.448,11.0291
467772,381192,96,449821,377648,97,7302.53,362.55,3876.03,47585.9,7030.82,2163.31,1252.16,855.854,15652.4,1196.35,11.047
403282,348889,99,260688,229617,90,1800.67,711.167,4737.82,14566.1,5411.14,1169.75,2069.89,1317.04,16304.1,7076.29,11.057
435230,375195,105,352196,306990,93,6470.87,-9.32503,5021.05,19444.5,7379.01,2219.16,1561.58,79.0489,9589.5,997.852,11.2651
