"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor    488-A","BIM AF647-Alexa Fluor    647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","SampleID","Time"
358524,329428,92,182754,164001,89,3835.34,104301,8489.62,7576.61,1939.72,8188.25,626.322,547154,31205.5,206.744,102149,0.00534237
348381,324499,89,174781,158885,86,2614.05,105807,11180,10949.3,1782.28,-1586.54,560.441,376602,29024.9,1883.23,99143.1,0.0173627
398121,365120,90,218636,195885,90,653.882,138235,12575.7,5461.67,4587.64,4357.39,791.076,692768,40897,-820.707,60538.9,0.0534237
352390,323452,92,170663,158325,87,1608.11,63511.6,6236.69,3622.22,2280.1,1085.5,-20.9031,480622,7512.24,6323.54,69606.1,0.0681153
406653,367691,91,414405,382020,95,1574.41,89166.3,12809.7,4424.51,2727.24,5772.69,827.842,431321,33441.3,1863.37,80608.9,0.0721221
343857,323040,88,148865,138279,85,1554.9,69016.7,10851.3,9044.69,2467.06,3338.07,1130.77,443143,36610.2,3167.4,74752,0.0774644
372442,331461,102,243927,210539,94,-728.211,67329.9,17505.8,6853.2,2637.24,4131.12,730.732,650336,10172.1,898.139,111493,0.0881492
321418,287834,90,219239,199789,88,2779.03,139818,6305.61,9329.36,2129.71,4420.54,1822,405982,38078.1,5271.36,79278.1,0.101505
263673,240208,83,169355,157368,84,353.748,83266.8,6757.24,6047.45,1206.9,578.283,1878.23,598259,22319,3680.46,78704.2,0.104176
315838,300572,86,159524,151965,84,3142.05,117687,9551.71,7842.15,1650.02,-503.124,1271.82,435187,30881.2,3929.53,87458.2,0.113525
277618,241425,87,186173,159860,88,1021.41,144641,6468.88,3232,3261.35,1858.32,2655.99,522966,42286.5,7756.05,83073.4,0.12421
324030,288648,90,196284,177382,87,1695.52,91595.1,7285.79,7510.83,2186.76,1846.72,1076.32,419089,25584.3,1217.85,75012.4,0.128217
289425,254222,90,203702,182009,87,2562.51,106880,10403.8,9134.25,1703.85,2840.05,1434.99,456340,26647.7,1548.14,57207.1,0.133559
