"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time","SampleID"
307914,286206,88,112699,102122,84,1078.52,-1781.91,14236,2770.7,1462.23,2125.36,272.053,304.281,5009.57,8853.62,0.0100825,1
257630,232803,86,174359,156944,85,1803.11,-636.583,6894.67,6432.78,1516.17,686.021,1900.34,-387.817,13234.4,15157.8,0.0110907,1
323658,298672,88,110578,99771,84,1781.98,-1138.09,11065.7,4148.92,1046.32,5607.72,91.2792,354.265,5286.82,9254.21,0.012099,1
291889,275686,91,89903,84399,81,1349.06,-683.561,7960.52,8738.84,1035.42,1974.63,919.353,-314.484,5492.56,11450.1,0.0262144,1
273739,257289,88,132582,128018,83,867.872,-504.063,7857.79,4714.08,1327.45,915.313,609.65,343.221,8536.23,8849.52,0.0292391,1
328463,309708,89,95138,87362,82,3343.37,27.5095,6990.65,3694.14,924.681,959.628,188.732,702.771,5604.21,9896.48,0.0473876,1
312138,300542,89,93506,90819,80,1916.46,28.624,3250.81,8069.32,837.374,1024.32,21.9958,-791.983,7265.03,17537.9,0.0504123,1
312691,297789,87,184981,175267,86,4291.26,-1412.23,6985.15,2746.13,1478.17,3368.67,97.8253,578.259,7835.83,2438.46,0.053437,1
324392,308024,88,105673,101043,81,1281.47,-1460.15,8803.98,6834.28,2954.48,-552.087,958.47,964.542,6376.7,11847.6,0.05747,1
318328,299571,88,128755,118331,85,1493.54,-1161.53,7822.51,9489.21,1117.21,12564.2,218.901,62.3689,9360.26,14101.6,0.0594865,1
270412,245880,90,147060,134470,84,1433.83,971.506,9793.49,3134.32,1940.48,2836.95,1270.25,298.965,11875.9,7686.8,0.0625113,1
335176,311298,91,131615,119816,86,2423.98,-410.262,6200.26,3534.87,1188.22,1279.47,434.89,509.606,5550.66,4083.07,0.0625113,1
239361,211023,86,147478,134497,84,1663.05,-1374.28,6434.37,4515.44,1077.26,2812.53,828.721,300.392,8706.83,8313.01,0.0645277,1
283147,259598,85,202474,183891,85,3318.94,-1108.89,8595.76,4045.76,1018.61,2502.73,929.95,-392.244,7859.64,7272.36,0.0675525,1
298192,278986,85,125072,115916,83,1606.01,508.563,8234.74,5298.03,2014.3,2405.01,551.987,142.001,4501.9,22950.7,0.073602,1
214066,186899,87,225172,199025,85,1357.76,-1091.72,9431.81,6789.1,912.268,2404.84,1102.02,-181.902,11948.8,8143.95,0.0776349,1
332615,312555,87,117733,109883,83,1787.9,88.0235,6773.46,9234.01,1793.74,6066.22,850.726,54.6767,4993.41,11472.7,0.0816679,1
338451,319096,86,129926,120469,85,1809.84,-550.319,12514.4,10320.8,833.5,1361.65,186.03,-44.876,10575.5,12539.8,0.0826762,1
340375,315068,93,139389,128901,86,2910.59,-166.296,10023.8,2725.59,1643.06,3402.9,267.193,656.739,6221.55,20407.5,0.0867092,1
348212,315702,93,179337,163389,89,1846.06,-719.547,5226.78,15165.9,2086.96,7784.29,871.087,206.399,6316.78,10187.8,0.0957834,1
306695,278374,86,128497,114888,85,2600.2,-1452.69,10181.4,6245.31,1471.05,992.506,960.384,834.688,8842.28,10955.3,0.0967916,1
227293,207228,90,111679,102766,81,1709.91,-2205.59,9175.13,7592.67,1294.58,6327.06,1673.3,-522.459,16441.1,14733.1,0.0967916,1
301057,283690,90,106808,98813,84,2833.65,-851.063,5737.58,2901.83,1636.32,3186.35,1509.1,-261.138,5595.46,11357.7,0.100825,1
308120,296991,84,131394,125271,82,2147.47,-393.073,7913.12,5913.86,2072.06,2883.65,-100.313,1768.2,9326.75,12721.7,0.101833,1
246382,229969,84,130099,122258,84,2390.87,-1047.17,6968.75,9849.68,1963.14,1089.92,1191.35,251.324,8713.58,13704.5,0.103849,1
232508,208580,91,189669,174229,84,2088.49,-1315.09,11437.2,5712.89,1648.81,390.627,2574.07,609.658,15699.4,14579.9,0.103849,1
263310,246943,84,154484,143768,85,5501.58,-1007.83,8304.16,3127.15,1398.08,9464.8,718.649,785.416,13342.9,21687.6,0.109899,1
368032,341870,89,207748,191146,88,2749.15,-744.735,7202.21,18794.1,2884.3,2750.81,673.875,1314.26,10033.3,5061.34,0.111915,1
307129,275248,91,177161,162154,88,1220.69,-140.602,3010.62,3182.4,1189.82,1363.12,431.201,957.572,4728.1,6576.19,0.115948,1
309219,290193,86,119282,109166,84,1913.82,-378.993,9687.49,8230.35,1629.19,1644.99,566.174,192.024,7046.19,31913.7,0.128047,1
261407,236864,97,265171,243040,97,1918.84,-18.1381,7116.97,9308.34,1330.18,1857.36,790.888,284.327,9346.34,17205.6,0.131072,1
327916,311394,85,116281,105669,83,1511.86,-2024.88,10483.5,5102.11,1947.71,8776.69,13.0127,37.2787,8220.1,6432,0.133088,1
296179,260895,95,131075,116867,85,1390.58,62.1482,4872.82,4022.13,1500.22,1779.36,950.806,-68.9489,5613.32,6072.83,0.142163,1
320369,300912,87,124043,115524,83,2028.24,688.27,5022.11,6607.63,2859.04,114.332,219.829,367.68,7658.4,6895.8,0.152245,1
265414,247506,90,124208,115618,85,1248.94,-718.587,5799.43,14043.5,966.223,2239.52,837.734,-14.2259,7297.95,17623.1,0.163336,1
260867,242242,86,155331,143250,83,2144.69,-55.1228,10470.7,3595.73,2335.16,5528.15,1037.44,877.953,13925.7,10816.7,0.164344,1
326883,300877,92,105248,94236,85,1778.39,-967.833,10104.2,3976.4,1596.24,4302.69,626.904,-977.967,6460.53,12268.4,0.17241,1
324940,294438,91,120887,108242,86,2199.76,443.539,3923.12,6959.53,1580.73,3820.24,503.607,264.968,4071.68,6171.26,0.173418,1
321897,292148,90,139653,128271,84,2197.3,473.891,7190.67,7106.47,1126.91,949.304,1083.81,-228.146,6486.34,15240.8,0.174427,1
328186,305412,88,106736,97793,83,1949.05,-553.213,6209.69,2727.27,654.117,2766.05,948.262,50.7561,7736.8,7074.62,0.176443,1
205927,185925,85,86965,80546,79,1425.82,-1638.61,10161.5,3678.51,335.331,1720.81,-118.03,371.044,7058.06,9568.89,0.183501,1
284031,264327,88,133368,123490,83,2495.68,-1113.97,14677,3027.03,757.772,2632.34,38.6576,159.463,9487.19,17481.3,0.185517,1
328298,304765,91,94760,89017,82,1591.7,-500.736,8452.92,3997.21,1779.77,3677.11,-194.264,-723.691,3068.78,11755.2,0.191567,1
353608,311201,93,153362,131486,89,4321.38,-1154.47,9703.34,6366.1,2051.72,4011.54,357.818,-146.109,3992.54,6935.9,0.193583,1
229636,206557,83,132683,120592,83,1747.64,-787.312,8551.72,3404.18,1140.55,1114.91,1140.39,-311.208,7428.99,14305.7,0.200641,1
211395,186285,93,120754,98173,82,1240.29,14.3648,4240.75,3349.87,5468.53,5666.06,8887.99,593.429,15513.9,11185.7,0.201649,1
222779,198870,84,190101,171788,84,1887.5,-878.284,7093.61,4472.74,2868.83,1804.18,378.498,1662.55,7794.77,14515.4,0.209715,1
272991,259748,87,143933,135059,83,1994.12,-434.275,7876.45,6062.05,1156.05,2715.74,847.766,188.942,6429.84,15133,0.214756,1
297414,284126,90,100816,94816,80,3008.78,-1005.51,9966.2,3118.23,1166.97,-370.386,756.625,605.049,2692.32,7887.11,0.215765,1
301254,275753,90,113902,104169,85,1316.54,-2118.54,12890.9,6766.36,1944.47,554.831,1065.22,800.505,6371.55,9409.66,0.221814,1
258088,228046,91,167781,144221,85,1931.37,-1490.05,17216.6,6036.26,4023.4,8595.92,996.816,-109.6,11233.8,16203.7,0.225847,1
291547,276364,85,142067,135367,84,885.934,-2383.26,7737.48,3454.57,1594.81,2711.84,-378.356,-399.123,8386.75,15575.1,0.236938,1
332507,309475,91,137316,125156,88,1065.97,-146.363,6268.07,4728.94,1700.54,4670.46,416.046,-549.801,8383.72,9822.42,0.246012,1
303591,278554,91,143612,132109,84,3680.06,-41.4413,6572.22,4319.63,1369.79,2660.94,800.025,504.728,6226.48,5308.84,0.250045,1
228687,207355,87,137023,131196,81,1575.04,859.888,7354.96,2863.25,1865.48,58.0021,1867.48,808.481,12337.9,7052.57,0.255086,1
338764,316458,87,118520,111357,83,1361.83,-1569.23,12124.4,5357.65,1787.93,4016.47,155.882,-458.731,5435.94,17898.6,0.255086,1
317572,304006,86,121267,113052,85,1815.98,-588.55,13335.6,6275.39,970.652,4172.29,475.887,762.175,6602.81,8632.02,0.266177,1
193167,162098,86,221917,201179,82,2767.4,-1905.13,10286.3,6522.68,1552.3,12329.9,368.173,1405.44,12384.3,11104.1,0.27021,1
328222,302057,91,128836,118879,86,1661.47,-268.085,8015.76,11818.7,1575.85,-614.7,728.964,119.374,6132.92,9488.82,0.274243,1
299799,293337,84,96430,93937,80,1583.88,-468.676,8183.04,4400.76,158.483,3179.99,818.71,900.253,6752.41,7222.31,0.284325,1
267717,248598,87,150918,136317,84,3940.44,-1233.05,10206.9,5645.68,1482.97,2276.19,888.059,351.039,10676.6,11536.1,0.28735,1
246241,232268,84,110498,104774,80,1525.81,211.768,6665.53,6655.94,1554.61,42.8605,1271.95,1018.96,12677.3,4932.18,0.290375,1
303867,280110,87,141910,132090,83,3063.51,-396.284,5968.52,5992.85,1739.06,-1893.32,1266.29,513.248,11641.6,10431.3,0.291383,1
226985,197484,90,141701,126857,85,1557.1,-60.2774,9322.5,3174.61,1716.83,2343.98,1759.95,643.781,13577.1,11187.1,0.298441,1
313264,285952,89,135376,124116,85,3108.98,-1783.94,14237.4,10574.5,1225.94,2132.81,461.15,505.703,6434.07,9517.9,0.302474,1
320345,301015,88,114011,105458,83,2597.61,-1857.73,8514.24,6173.24,1501.61,1843.33,-172.453,253.614,7448.94,9269.52,0.308523,1
236771,216187,85,181817,168399,83,1483.66,28.8338,9208.89,5399.54,1845.34,2360.22,923.083,-633.561,10336.6,10401.3,0.340787,1
328882,303772,89,129822,119159,84,1787.31,-219.047,7830.39,2998.74,1215.34,7155.99,162.244,-197.33,4209.97,16672.4,0.357927,1
353134,324146,94,133315,118940,87,2614.7,-1371.51,11613.9,4104.2,2509.98,2357.19,516.606,-355.747,8543.67,14092.5,0.358936,1
260218,239372,84,122832,112005,83,1289.3,-1545.98,6634.01,8035.35,997.311,1806.14,1060.62,-471.418,9136.46,14172.5,0.359944,1
206822,171887,90,247075,213359,87,2639.19,-833.042,11911.1,2898.57,853.35,3848.49,483.173,608.38,14546.4,17171.7,0.359944,1
347002,318559,91,158289,144462,87,6371.39,-738.363,10125.7,5217.32,1616.57,7797.2,129.183,-232.865,10739.4,14405.5,0.359944,1
394432,242391,114,191430,127456,110,7281.23,-1171.14,9493.27,3938.84,4960.83,2659.4,1731.24,420.873,15414.7,10317.5,0.364985,1
336274,309740,98,112919,101074,83,1052.76,-865.54,8671.36,3855.2,1471.86,2983.82,518.375,-389.534,3112.5,2406.03,0.382125,1
302148,278219,86,128798,119457,84,4604.9,262.663,7989.3,4100.3,1282.09,1672.1,1201.12,1126.29,7691.59,12556.1,0.386158,1
325625,295284,89,82976,76447,84,1752.46,-1410.44,11040.3,5740.28,1807.69,1550.9,108.038,292.816,6814.9,10923.7,0.388175,1
336609,315767,87,125710,117173,84,3102.77,-1362.44,9310.66,8026.92,2073.21,1539.45,-9.6188,-206.986,6948.69,7357.12,0.401282,1
320124,295943,90,111954,100439,86,3793.06,-411.965,7911.05,9101.1,2681.43,9451.93,42.6358,-393.617,7711.59,12228.8,0.409348,1
179789,165029,81,148229,135297,83,1253.59,454.025,8003.2,10772.4,1698.8,1318.5,2009.05,-224.349,9078.03,10470.3,0.414389,1
299705,288545,86,85277,79912,81,1059.36,-661.448,6029.39,4586.84,2368.96,1899.18,190.836,-279.682,4021.65,12270.7,0.420439,1
293382,277709,86,126098,116434,91,3020.23,-1195.34,9392.7,7991.6,4543.27,-3255.42,1375.12,-242.917,144768,8126.55,0.422455,1
268480,252314,89,136467,128009,84,2076.89,-117.019,7113.64,11426.3,2078.31,-19.6791,1249.27,-426.366,15336.6,19479.5,0.42548,1
325542,305910,86,112215,103894,82,2155.33,-2338.38,15708.6,10960.5,1771.48,5143.12,-30.9711,385.346,5414.25,7712.84,0.431529,1
326754,296593,92,122847,111626,85,1625.79,-1153.61,8075.1,11636.5,1933.46,2896.95,321.014,-217.065,6134.12,5915.69,0.435562,1
300443,286119,89,111153,101652,82,3685.7,-1328.11,11319.5,9775.94,1167.49,1748.85,-379.508,402.131,7853.74,16024.9,0.444636,1
332018,322558,82,157660,142367,85,2222.36,-75.064,8313.02,3377.12,1736.46,2814.98,-123.798,-343.702,7879.12,5307.05,0.448669,1
272568,256127,86,111596,109808,79,2067.17,1985.26,8196.81,8801,1825.39,9164.34,1222.85,778.236,36819,13934.9,0.452702,1
244295,225371,86,114520,105852,84,1210.05,542.07,11016.5,3055.45,2112.87,4546.35,1281.88,960.729,13278.8,16735,0.456735,1
348675,317986,90,173796,155738,86,1012.78,-527.171,10718.1,5244.39,1638.93,3602.89,2573.22,-203.363,9136.95,5926.54,0.460768,1
339961,312946,87,97589,86723,85,3011.08,-2365.04,16324.2,12483.2,1686.73,3882.03,643.226,90.0946,6088.46,19856.3,0.484966,1
342967,320633,89,118206,109649,86,2327.04,-1210.89,7842.71,11969.1,1944.44,5330.39,557.607,-924.428,7642.95,15616.3,0.484966,1
318225,293015,89,117221,107525,82,2443.04,-1736.31,11539,6106.39,1480.66,2151.27,750.631,622.18,3653.87,7017.08,0.486983,1
368563,330604,90,156665,138831,88,1517.43,-17.3693,7943.14,2948.46,1429.98,4229.25,2055.43,321.536,8025.61,9191.22,0.502106,1
323578,298601,91,117620,108453,85,3556.29,40.0884,8663.37,3938.98,-65.3769,3704.93,111.679,-511.097,4786.34,13574.2,0.508156,1
337587,309504,101,120055,108892,86,1406.36,-638.208,9676.2,4348.47,1166.45,324.652,751.113,487.439,3175.44,8576.65,0.514205,1
319544,296960,90,95176,86313,83,752.667,-283.22,5706.82,12065.8,1027.73,-514.477,351.955,-255.944,1276.88,5935.69,0.514205,1
303816,272749,85,123696,107858,85,1847.69,-1023.54,7653.41,6907.81,1435.15,345.547,409.65,33.4069,5244.7,12655.5,0.514205,1
328724,304771,88,130317,117015,85,1696.11,-323.143,10550.2,3417.4,993.384,4533.49,250.671,302.052,7063.08,4772.58,0.520255,1
262306,253052,83,93993,90119,80,1531.69,568.278,4464.01,13049.2,1230.4,1776.94,249,1487.71,6075.94,20659.2,0.528321,1
338287,310328,91,111121,102210,85,2945.76,-489.911,11701.2,6065.68,1428.47,-1552.89,898.713,235.705,6231.52,6607.07,0.54042,1
292969,268512,88,131706,120435,85,2333.59,-1549.27,9332.25,7655.2,2475.31,1840.13,1305.3,-654.29,13311,5515.08,0.546469,1
304091,279456,88,136293,120381,83,2737.28,-2530.88,25583.3,5673.31,2146.23,-191.767,906.734,1169.54,8078.71,4986.97,0.558568,1
306949,269249,89,319106,279143,90,2152.04,-777.535,11941.5,4096.18,598.982,2914.14,638.646,1300.12,11954.3,17044.3,0.560585,1
331600,292571,102,122687,107541,102,1757.45,-1891.24,7858.45,6715.72,2180.37,3349.3,417.259,1505.36,8386.44,8786.68,0.564618,1
342299,316945,88,101560,92064,84,4162.13,36.417,4792.54,4995.94,2096.63,1134.4,1183.99,1185.97,6237.11,9983.56,0.569659,1
348687,321948,96,128998,117399,87,3263.91,-1338.27,13009.6,3523.34,2762.8,-676.891,1131.49,824.692,5603.42,9631.18,0.571675,1
188807,177115,84,95314,84449,81,1386.92,-737.891,7867.56,4027.34,1265.77,338.368,1964.68,-362.526,12683.1,8291.42,0.579741,1
312350,297855,85,94392,87943,82,1558.53,-940.511,5972.68,3217.69,2078.33,171.961,739.309,62.1582,3636.76,6075.39,0.579741,1
316257,301707,85,104055,99363,82,3767.59,387.243,5822.79,3500.25,1288.71,4624.73,437.021,-562.042,7411.81,4373.24,0.58075,1
180376,169560,82,75851,67516,78,927.836,63.8261,8271.87,8653.84,5932.81,7874.44,1008.63,282.202,11668.4,14913.3,0.583774,1
293615,278596,85,85558,82381,80,2241.25,377.156,4296.21,5673,1832.87,4495.65,71.1032,575.034,4342.59,21425.4,0.587807,1
353926,321028,100,144095,128520,88,2802.99,993.343,7932.17,3032.25,281.518,4805.38,-598.778,-857.335,7172.35,8744.77,0.592849,1
157927,133979,81,110999,97459,82,1889.28,-1089.18,11178.3,18061.7,2199.88,468.053,541.315,-60.8032,8986.72,17781.5,0.595873,1
328443,310092,90,117929,106259,85,2366.48,511.931,16366.1,6452.6,3337.32,1273.76,896.174,602.871,5639.23,9092.45,0.596882,1
348067,326052,89,119129,111245,85,4147.52,-452.465,9519.63,6563.86,2586.07,1924.12,957.093,-148.7,8018.67,12889,0.59789,1
319275,299904,88,119156,110832,84,3774.61,-1451.19,9037.06,3715.12,786.216,2287.44,353.739,32.7186,7275.77,15046.4,0.600915,1
243860,226765,84,105838,95642,82,1510.75,-678.683,8127.06,4633.78,1929.97,2956.34,1776.51,-531.525,13058.9,22969.2,0.601923,1
296171,282122,85,119148,111241,83,1745.94,-268.021,6229.4,3568.95,2085.93,9319.86,63.6433,-367.895,8081.64,14786.8,0.601923,1
294390,262888,91,131625,121138,85,1592.89,-769.902,11128.2,4978.06,-143.823,890.671,538.872,355.319,8310.39,7650.27,0.602931,1
329753,308226,87,108580,100902,84,2789.42,-545.573,6493.56,3500.38,1856.98,2146.14,-12.5877,588.993,7133.13,15907.1,0.61503,1
320561,298450,89,143577,134136,86,2974.62,-364.285,5014.82,3165.16,2049.23,1697.77,888.34,-375.319,5267.15,7681.04,0.617047,1
323190,299675,88,109925,98720,85,1164.25,-1323.28,13135.8,14433.2,611.074,9332.61,-553.334,567.465,2673.92,7142.02,0.618055,1
323753,292492,90,148973,126632,90,3814.08,-2120.06,15999.2,7638.32,1557.63,1079.54,-49.9832,-802.427,7285.12,14872.1,0.62108,1
242659,219107,84,202614,183623,86,1533.55,-1261.34,11095.7,7369.45,1922.49,10620.7,418.994,41.1759,18785.8,9257.62,0.626121,1
315248,294678,87,106611,98656,83,2563.81,-1578.3,6287.11,2950.22,2572.19,2538.24,-385.004,118.072,6686.34,12612.3,0.627129,1
308596,292594,87,128863,119776,83,1698.66,-890.942,4871.42,3267.12,1688.64,5351.16,121.128,496.521,7496.12,11199.1,0.633178,1
336201,309241,91,130629,117120,85,1125.38,-150.033,11353,3148.1,1531.65,-529.874,190.226,742.375,6154.02,10272.6,0.639228,1
221119,196724,85,117621,105325,82,2030.91,-111.706,9760.1,3154.86,1568.77,1872.21,683.387,52.2284,12995.6,10956.3,0.641244,1
277210,256096,85,132313,120594,83,3562.78,286.635,6846.53,3236.97,2129.18,2205.5,518.333,1055.58,9817.28,8126.87,0.64931,1
320356,299394,88,107933,101929,83,4736.93,-1086.75,9164.35,5598.04,737.728,6714.13,228.032,-321.383,6255.29,10864,0.651327,1
303019,288868,84,123690,96924,82,611.323,-1179.53,10739.7,6494.39,273.673,2411.83,24.6362,-1128.36,6903.27,9346.3,0.653343,1
276738,252728,93,142482,130103,85,2120.18,-1528.35,7433.34,6479.16,848.017,4040.8,565.971,988.969,11226.8,14083.2,0.662418,1
348044,319641,89,123683,111612,87,1928.6,-117.582,5262.95,2870.48,696.562,1686.11,190.951,327.644,4519.92,6446.27,0.665442,1
237523,203123,98,135534,116841,89,1978.64,330.21,10813.3,3176.04,2236.18,874.132,840.565,649.851,9749.45,7197.88,0.668467,1
283921,255718,90,149084,132494,87,1490.87,-603.272,9990.97,4055.19,313.096,5793.1,670.046,1583.55,10390.9,12125.3,0.6725,1
293631,279232,87,144840,137628,84,2651.65,-682.595,9826.05,3625.37,3901.79,2897.71,-303.244,870.014,158582,11655.9,0.686616,1
308046,282685,93,97777,88936,84,1860.23,240.71,3937.66,4292.54,637.023,2429.66,768.902,269.509,4800.59,14163.9,0.691657,1
262331,229820,90,181825,157910,85,1312.39,593.652,3613.35,4364.76,1198.93,1278.12,586.8,677.576,3966.49,9287.61,0.694681,1
320046,291175,100,127788,115357,85,4470.54,-257.582,5045.95,8448.38,794.652,3173.93,1046.82,226.006,6533.35,11491.9,0.69569,1
330453,296992,101,120639,109851,86,2845.09,2049.84,8015.25,5169.2,1091.84,3053.23,367.246,-458.408,6155.46,6551.5,0.696698,1
344905,313042,93,121747,107894,86,3728.69,586.99,9015.98,4310.98,2994.13,3902.1,556.466,966.17,4152.61,6739.85,0.697706,1
310529,285341,89,114407,105199,84,1805.68,-796.814,7417.41,3069.58,468.624,3808.83,746.35,-191.855,8342.35,6210.23,0.699723,1
328462,292912,89,116312,100053,87,2223.25,-115.093,8973.6,3730.76,1577.39,7730.14,374.698,-579.865,7053.36,21159.5,0.703756,1
305056,284116,89,101672,94146,82,1379.03,83.5498,4787.92,6891.86,2213.75,2985.48,183.815,34.8014,5100.69,11710.8,0.704764,1
255374,232724,85,149192,137801,83,1684.28,409.665,10099.7,3010.42,2418.7,4829.56,-638.011,-2548.93,80027.5,22672.1,0.714846,1
335519,306165,92,110555,99174,86,1877.38,476.368,10899.9,3337.56,1812.9,3186.13,684.414,425.854,4720.52,6639.76,0.721904,1
248308,221548,88,155538,142585,84,1262.76,-1115.77,7370,8344.42,2087.54,1756.4,697.297,520.865,11602.4,7875.26,0.723921,1
223080,198103,84,100127,88430,83,1636.35,-599.294,7098.11,2687.49,668.98,4040.02,409.321,432.551,8466.76,7124.39,0.727954,1
321714,295964,88,116196,107036,85,1504.41,-50.4526,4812.27,5700.83,192.132,4351.55,-305.005,354.466,6392.65,8204.16,0.731987,1
318611,300566,90,129347,120745,85,883.618,-1585.09,9554.47,2858.69,1388.12,-18.4885,1313.84,1796.18,4992.39,4698.07,0.741061,1
268275,254491,85,133688,123159,83,2267.77,6.08646,2889.54,3775.48,1604.02,1419.99,1608.79,-420.389,8854.25,21079.6,0.742069,1
296726,270783,86,99215,89354,82,2255.7,-265.398,10510.3,3211.92,1209.89,3267.35,987.98,572.347,5660.49,6778.64,0.748119,1
269224,233248,89,203909,179569,87,2354.32,-116.58,8001,11097.5,2314.35,-1140.14,645.841,257.132,5625.37,5543.5,0.749127,1
264521,237218,90,133467,118765,86,1384.42,1172.06,7022.7,3156.62,1941.95,2988.06,1339.63,157.526,9489.16,14167.7,0.749127,1
252827,226461,86,131774,121299,84,1596.09,-505.775,6286.5,4481.13,2248.98,-804.721,609.195,-214.962,7227.9,4957.28,0.751143,1
272452,252507,86,144727,134356,85,2660.17,-1317.03,13757.7,8775.1,722.07,-39.0264,1772.26,-412.824,7320.81,18998.6,0.758201,1
317669,299372,89,117476,110727,82,1291.13,-874.397,10222.6,4551.51,1940.14,2069.64,344.817,268.539,6527.75,7000.09,0.763242,1
225486,202020,86,118131,106821,82,1519.88,-679.182,10746.2,5949.87,-84.8351,1939.17,1266.96,270.244,15549.6,14615.6,0.774333,1
198163,183828,80,96619,89115,80,1283.2,70.8774,6391.15,3388.53,940.232,788.94,2301.35,908.814,13044.9,10999.9,0.781391,1
237195,215001,85,100176,89810,81,2810.9,-1295.15,10101.1,5899.91,708.921,5509.39,-77.2139,-557.318,8352.95,3644.93,0.789457,1
318005,303337,88,99698,94973,82,1511.75,-1399.86,8931.15,3065.69,1177.88,1284.64,133.731,538.154,6726.94,8196.25,0.789457,1
306826,292603,86,111617,106359,82,1298.5,-878.04,9255.69,3292.93,465.85,-304.38,731.998,355.459,6165.23,9466.57,0.790465,1
242673,220661,84,131923,117557,84,1539.07,-1778.5,11544.4,8557.31,2159.46,1873.43,1127.93,-532.403,9612.34,11400.9,0.802564,1
308339,290122,87,97812,91949,82,1026.23,576.151,8698.06,5262.83,1743.75,2779.32,194.904,922.358,5131.9,10169.7,0.807605,1
285876,274650,85,95812,90469,82,693.036,-602.003,5117.66,3220.85,689.525,5017.73,-201.488,-350.88,3327.86,14926.9,0.809622,1
299788,283476,86,98286,92469,82,1075.05,-393.067,6997.82,5964.94,2538.28,1776.86,178.905,183.82,39645,10779.7,0.813654,1
336146,305753,92,205353,188271,87,2290.64,-733.907,3791.79,3947.17,934.224,5306.45,557.007,44.8295,7251.46,12137,0.817688,1
351883,320522,91,301014,234459,95,2043.07,-24.8839,5992.94,3964.05,3079.81,1415.12,458.876,356.888,5824.78,7966.1,0.823737,1
