"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
429912,388306,89,254114,226979,86,14516.7,183880,1862.02,38444.3,4301.59,8341.53,1965.54,240012,93907.2,-25711.7,1.16115
394426,353650,100,223357,200290,87,12683.3,198809,9415.46,47469.2,1718.63,-1627.34,3135.25,360492,92863.4,-38521.8,1.20171
339635,300331,87,290436,253728,87,14287.1,193508,3166.23,69434.1,4366.98,365.703,5434.86,222322,83816.8,-24197.3,1.24973
395517,355502,89,269471,238041,87,12135.9,130709,5830.87,56381.2,3586.7,9831.16,3720.47,466533,74097.6,-51277,1.3714
391416,331683,90,212102,176627,88,8505.58,142245,5244.26,58452.1,2369.72,5266.78,1990.73,349636,31392.2,-36456.6,1.37673
356311,315035,87,277931,240443,87,11734.7,121778,2960.71,61965.6,2906.88,1182.66,3550.06,185435,63731.7,-18697.9,1.55496
383973,340902,90,348840,299445,89,15883.4,184220,4311.57,85337.7,817.821,20277.7,5772.14,374702,102320,-37785.7,1.55923
317621,268644,91,225892,193904,85,8005.26,168245,9628.09,32466.8,1535.19,4103.44,5190.21,301316,60133.6,-28408.3,1.5667
384238,344941,85,345678,310543,86,13366.5,180970,3776.78,65968.6,2620.94,8246.81,4313.38,323773,91305.7,-33668.1,1.6905
297368,261278,87,134706,117133,83,1572.81,54767,8353.25,19269.2,4243.24,5802.29,525.742,284213,7107.88,-28537.5,1.71291
394451,347656,88,288824,255925,88,15251.7,225571,6164.92,74706.8,3328.65,5823.12,4173.04,279860,84031.1,-28006.8,1.77054
402043,359433,89,265774,246923,85,13901.6,173219,6887.59,77524.7,4325.85,1847.83,3362.11,173116,85338.1,-18920.8,1.79829
398582,339905,91,273554,219586,90,14514.6,144137,9375.53,71044.1,5428.99,12292.3,2707.24,206665,63867.2,-21361,1.86873
386046,342983,88,242280,208085,87,9782.55,82190.3,6954.89,85800.9,3354.22,12628.3,1163.71,360898,41816.5,-38896.6,1.96692
298377,260026,85,292471,249535,86,12233.3,173459,5302.23,59504.5,1184.97,1928.18,6351.26,262999,78010.6,-26522.1,2.02988
378385,334154,101,296203,251587,89,11578.8,113558,9209.11,64550.1,4541.99,2022.59,2008.59,415194,32687.8,-47356.4,2.11846
387713,339661,90,299660,256989,87,17378,184447,8339.23,86761.3,3830.76,2454.32,3700.09,216834,84715.3,-21209.4,2.14088
375122,327040,101,317288,272446,88,14840.7,155470,2895.08,85459.5,4374.56,12418.2,4870.38,316965,86798.2,-28107.2,2.1825
381575,347199,88,208405,188173,85,10537,196756,4312.5,60107.2,2719.63,12367.3,2568.83,358886,75338,-39910.4,2.21451
363987,328095,85,252668,223229,85,9996.33,72841.4,4955.74,39931.2,3703.35,24551.5,53.4711,226945,29031.2,-22356.4,2.22092
368514,329253,86,309881,266481,88,15769.2,190348,5860.46,55010.9,3703.55,2782.08,2448.43,440217,85964,-48238.1,2.23052
427974,363217,92,395964,326640,92,22573,365379,9654.17,262673,1564.22,1879.03,11504.1,165679,122878,-17629.6,2.25827
367510,330445,92,284608,253014,86,13907.8,186300,4290.48,43926,6174.09,-897.694,3182.08,229101,83952.9,-22568.7,2.27535
386432,348659,87,282856,249872,86,15757.4,176518,6762.66,104081,1290.05,8033.01,3979.81,435320,93693,-49087,2.33191
320207,292267,86,262995,229587,86,12869.2,170129,3378.03,31554.7,1658.64,25519.8,3720.47,456483,86162.5,-48801.2,2.35112
312755,285308,87,246415,220047,87,10658.4,152227,3358.18,72068.6,2263.02,23078.2,1903.83,218992,59883.3,-23509.4,2.36179
364678,329891,90,218008,196503,84,10546.6,211230,8826.51,188996,2207.52,3075.25,2182.82,241087,52009.2,-22792.7,2.41515
389435,354837,85,270320,235664,86,13149,163905,3866.89,41017.3,1669.81,7846.82,3107.94,411164,87226.6,-42950.3,2.47385
307792,291523,83,178890,163743,82,9000.1,170275,7118.96,44359.8,1601.36,9584.94,5065.04,254789,68130.4,-22904.4,2.48986
389282,341449,92,345704,299014,89,13536.8,193075,10049.8,86355.5,1590.75,9221.67,3442.53,299633,97522.5,-32649.7,2.49733
376024,338505,88,301708,267997,88,14940.9,222050,4355.96,94799.1,2519.25,9664.1,4164.59,180987,87631.7,-17451.8,2.51654
336488,300055,86,253609,218761,87,11660.7,171283,2736.25,60865.2,3741.2,16722,3438.65,348233,73499.4,-37928.3,2.51868
327014,284611,91,292073,250833,87,11443.9,165265,7770.46,98623.3,2296.27,-484.396,3723.1,244055,80485.2,-26100.1,2.57844
382089,338785,87,297205,258773,89,12799,153572,4244.44,65774,3583.84,3113.33,3494.71,283128,85766.2,-30818.5,2.59232
361703,324244,86,320529,276803,87,14522.1,170564,3727.08,82049.4,3136.64,8651.52,4442.51,386608,81693,-41781.1,2.61686
406634,362122,100,267881,231300,87,14440.8,210431,3942.29,64272.6,1259.16,12879.6,4023.31,392444,95567,-42384.4,2.66275
339120,303189,87,252181,217663,87,12263.4,187126,4453.64,34136.1,3266.92,7438.23,4850.14,342993,77348.7,-35055.1,2.67663
396629,358630,101,258461,231912,87,13856.7,128015,8896.72,42616,3145.19,-693.867,3100.86,229854,68948.8,-25265.4,0.0170758
336631,303819,86,243986,215884,86,11059.8,200209,2536.86,64461.5,2375.4,9465.17,3846.28,314784,74223,-33540.6,0.040555
337609,308835,85,224592,201192,86,10519.3,127312,4519.8,35605.6,1228.63,10865.3,2361.05,374192,63125,-42162.3,0.0512273
414181,368414,88,290804,253859,88,13177.4,172633,5540.12,88724.1,3517.94,10480.9,2802.58,472531,92351.1,-51847,0.0597652
409016,359318,93,304009,264742,88,14306.8,170093,4054.14,112846,1021.51,6574.9,3084.83,403498,87723,-45296.5,0.235859
382414,338309,89,276342,241653,87,12779.3,205612,4006.73,56345.7,2402.94,484.073,5465.74,358475,84750.1,-37295.8,0.236926
379187,333632,89,240627,211468,88,12661.7,177668,2550.61,78808.6,3931.42,309.877,2496.08,293694,56066.9,-33282.6,0.3127
395190,334307,101,350332,284297,89,13358.4,118890,6690.75,169253,6363.07,4716.11,2367.07,264533,36802.4,-29394.7,0.358591
326625,292485,84,290532,261835,85,10807.6,122190,4143.79,77904.4,3047,7360.71,6726.79,214268,48444.6,-23834.7,0.38207
374307,335900,85,262467,234506,86,12719.4,173259,6418.89,40311.8,3909.29,3116.42,2068.79,482803,80329.5,-54232.3,0.426894
382235,345405,88,243767,218477,85,14084.2,186100,5832.24,74276.6,2230.09,9009.99,3387.22,350940,84222.8,-40181.8,0.440768
276729,263984,79,133788,123723,82,9353.85,200270,5927.15,25633.9,946.246,9135.54,2825.77,290219,72260.6,-26405.5,0.481323
424137,374095,89,258719,219098,88,16581.8,70546.1,3754.33,40195.9,3984.99,3964.27,2081.66,429800,22965.1,-49971.1,0.58698
329132,295732,87,276123,243332,86,12356.7,174417,3108.18,83989.2,2687.87,16254.8,3381.47,346760,82685,-37185.5,0.884739
321209,286145,84,281174,243201,85,13335.6,166309,5260.95,27003.5,2241.16,29012.8,3554.53,299195,72624.5,-29094.8,0.91889
383530,329539,89,346336,297968,91,17874,196417,4045.85,80286.2,2527.98,29853,4666.99,399502,111802,-42463.6,0.956243
356286,311708,95,244450,213501,86,13076,216556,4759.63,69708.9,2027.84,20493.4,3033.11,471870,97170.2,-50599.8,1.00961
370498,323819,92,267488,227762,88,15410.7,176584,8599.94,102556,1216.11,9388.43,4478.22,262028,101567,-26035.7,1.13874
270212,233276,90,310776,268615,86,10759.6,134206,5046.31,66700.7,3410.55,9770.17,5269.72,412215,73579.6,-44521.4,1.34045
357047,242683,107,264295,179856,109,10238.8,170836,7770.43,56685.6,2692.63,25742.7,5336.2,363481,88388.8,-36065.3,1.34472
368435,321749,89,283048,239148,88,13179.7,168889,4540.01,93243.3,2363.42,3907.21,4887.78,409490,101433,-45719.9,1.35966
342601,308286,89,241755,214530,86,11677.9,146026,6028.11,59292.1,2491.97,13495.4,3380.2,358860,80433.3,-38335.4,1.37567
272651,245001,82,280092,253847,82,10334.1,144817,9494.75,89411.6,824.314,29591.2,2959.84,424793,49380.6,-45438.3,1.40342
278533,182268,101,267342,195993,99,11095.7,226973,4732.99,79121,-635.248,11028.2,7936.47,293592,122175,-27596,1.6809
319688,279958,87,273226,237985,88,9396.76,204318,6393.84,82398.5,1960.99,9115.06,4269.11,360703,86261,-33510.8,1.6905
313514,276687,86,332240,279250,87,11746.3,153039,4043.21,71509.1,2557.38,3084.24,2456.78,269035,65424.2,-29490.3,1.71612
249329,226739,84,183073,164037,81,8001.98,147305,4794.33,51184.4,2032.99,21496.7,2552.19,382221,61356.6,-42092.3,1.8175
374280,329578,94,250056,214607,88,11837,149705,7264.42,46679.3,2519.08,-650.086,1695.84,518170,85501.4,-57152.1,1.90288
338428,298970,99,281374,242350,86,12125.9,162683,2928.67,134026,2863.12,9186.49,3755.64,267158,70976.7,-29588.6,1.92743
311022,271017,87,206646,173532,86,7856.19,245473,5470.78,82274.2,2312.36,-1381.39,3183.08,279551,55600.3,-21621.5,1.9968
358228,322914,86,238843,207530,87,11352.3,107950,5310.15,73097.3,3092.27,27671.7,2433.84,274024,59292.9,-30330.8,2.00854
409064,356776,90,363970,308577,89,17567.9,262792,8416.01,33948.7,4022.09,2039.54,5693.16,329732,81948.9,-30954.7,2.06403
332467,302164,84,263693,230492,84,11517,118024,5877.17,68832.9,5781.8,4102.09,3379.13,317136,25538.4,-35852.5,2.06403
368825,327711,87,279373,246471,89,13767.5,176005,14007,87051.9,2498.93,3211.32,2422.67,405119,93445.8,-45210.8,2.10993
