"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
289599,270655,81,132285,122434,80,8639.32,80024.8,20784.8,4209.37,2401.29,-1061.51,3244.87,48329,57872.8,-5955.75,0.000986662
39238,35996,47,64329,55161,65,1223.51,21814.9,179.046,351.68,3265.52,-408.164,1275.86,177.761,2847.02,-35.8649,0.000986662
344746,319721,88,146011,130420,83,11168.4,202239,11545.9,4932.52,3567.66,-484.327,3682.11,109526,67739.4,-12523.1,0.00197332
285827,268528,96,115476,109164,80,5391.4,56404.6,21124.1,2361.1,3326.82,3050.12,185.545,40232.3,38490.1,-5244.21,0.00295999
302323,285150,85,118693,110998,80,8010.56,85153.3,5330.24,3952.37,3080.03,149.15,1726.17,77011.7,50223.5,-8493.18,0.00591997
293332,276710,81,188815,171060,83,7563.94,111448,13846,4473.6,4059.01,2062.91,3003.72,154137,65928.4,-13866.1,0.00690663
368876,331518,86,154969,136034,84,5625.7,77305.3,8714.48,3683.9,6185.8,1987.51,2203.52,77473.8,39529,-7996.17,0.00690663
334487,301700,86,212970,190136,84,9442.54,146882,10215.3,9356.77,977.775,-1281.28,3661.38,97943.2,100366,-7755.03,0.00887996
323419,296587,88,143878,129506,83,9679.73,95225.9,20518.1,4718.43,4211.79,801.83,586.654,43924.3,58559.5,-4597.87,0.00986662
294425,267975,87,224024,198809,85,4902.47,59010.1,9635.3,6678.16,4282.07,1041.62,1507.84,124165,49412.9,-6420.64,0.0108533
282941,263590,84,144128,136737,80,2517.84,126596,8992.95,2385.39,2640.29,1414.26,885.917,127323,19526.8,-13963,0.0128266
285523,269314,81,156535,145687,81,3159.77,54847,44715.5,2060.99,2740.93,1318.41,1367.63,118487,22154.3,-12658.6,0.0128266
300925,272215,96,187220,166789,83,7636.26,85053.3,2725.61,4101.03,3085.41,1541.06,4116.33,49421.8,65107.1,-4910.92,0.0147999
307862,282312,85,155354,133474,84,6965.84,71027.3,4655.31,4137.18,3973.24,-693.367,2274.22,33991.9,48049.7,-3753.14,0.0157866
317319,292780,96,206576,176576,92,6196.06,58171.8,6978.53,3915.4,3569.79,617.964,856.849,109630,47986.8,-12862.5,0.0157866
281681,265660,83,174836,163727,79,7662.48,82775.8,2824.15,2810.81,4216.02,1813.21,2180.44,68948.5,41691.6,-6961.94,0.0167732
296436,272137,83,257956,227212,84,12913.2,119146,1221.02,6126.37,3410.49,-302.993,2653.86,34160.2,83703.6,-3446,0.0167732
320111,293865,87,133418,120824,82,8149.78,97335.1,13784.2,4528.47,3222.54,360.565,1050.19,55480.8,58252.3,-6776.17,0.0197332
375229,295498,93,140483,111247,90,9801.47,133634,1264.41,5192.84,3082.43,873.209,3753.43,31764.6,78505.1,-429.338,0.0207199
296401,267758,88,199791,172335,84,7061.58,102940,15218.8,3608.03,1856.73,1348.02,3130.59,114282,55056.4,-12681.2,0.0226932
260560,239754,94,138932,125110,93,4963.1,52058.8,35297.5,2935.35,3963.83,113.082,1835.6,27246.9,32614,-3243.21,0.0236799
338802,296437,100,158677,136019,100,8989.42,88257.5,35997.7,6028.74,6475.65,51.0082,2313.31,90490.1,68242.2,-11701.4,0.0236799
264979,257296,78,84525,82013,77,3102.42,13103.8,-625.572,1355.17,3585.38,-633.289,918.161,6296.56,14030.2,-674.55,0.0236799
188047,169281,82,110149,98629,78,2985.8,17080.2,4240.12,1022.76,9327.26,-465.701,388.113,16277.1,3416.09,-1377.6,0.0236799
351230,292576,94,200575,155958,91,12081.2,92095.9,5555.88,5738.27,3660.12,285.657,2429.88,86316.8,78454.8,-9584.99,0.0236799
685324,527484,104,503905,385842,103,19501.9,158218,9102.72,9258.12,11892.7,2380.17,5040.08,19636.2,112073,-2435.07,0.0246665
316272,296708,82,165140,153481,80,8948.28,117378,-529.974,4191.74,4262.93,-18.4834,1906.55,85402.6,57590.1,-9779.13,0.0246665
238932,225147,81,83484,80006,74,3891.79,90806.1,573.477,2231.84,11047.1,1832.23,1087.75,21583.4,29121.7,-1708.38,0.0246665
295594,274297,88,157382,141244,81,5734.08,63911.5,34565,3298.74,1303.97,374.494,1863.53,70693,42203.9,-7834.25,0.0256532
287903,265512,84,228882,207786,83,9023.09,93881.5,687.782,3475.95,3667.24,1817.16,2156.24,29231.2,54259.1,-2887.41,0.0256532
308347,279967,86,204455,182149,86,4981.29,75408.7,15528.5,2866.85,1755.7,551.133,1491.81,77257,33525.2,-7999.11,0.0266399
215617,195350,83,144062,131882,79,1382.95,6102.64,14096.3,2074.1,6409.94,-706.138,1159.8,108899,17666,-11630.3,0.0276265
290601,274292,81,118202,107913,80,8327.45,99058,6479.41,4803.51,3166.89,1493.32,2037.95,38750,59662.6,-4106.74,0.0286132
330850,268935,90,362656,275018,92,3192.4,26141.1,12744.6,5554.09,6910.64,2171.17,2847.7,10264.8,62686.1,-1563.53,0.0286132
215420,195898,93,218092,192355,83,8248.12,112804,8670.01,4247.19,3761.87,-349.47,4188.39,60039.5,61418.9,-6131,0.0305865
307146,289555,82,128345,116423,80,7909.8,83429.8,2285.63,3536.82,2251.97,-606.092,2163.04,7774.5,47450.7,-969.521,0.0305865
312190,289609,85,131840,116731,81,8360.25,97519.8,10685.4,3750.22,2584.86,-2246.56,3876.93,42138.8,52354,-4581.93,0.0325598
310836,293832,83,134465,124186,81,8127.71,146652,695.638,4685.6,4021.98,-46.337,1201.14,63376.4,59470.5,-7372.42,0.0325598
337927,313406,88,120594,108653,82,10244.4,93505.6,6186.53,4495.27,4748.46,2142.77,2066.71,52040.5,53599.9,-5228.63,0.0345332
314638,295529,83,147765,136922,82,10155.6,225294,9941.27,5038.62,4747.46,34.5958,2477.14,66600.7,77826.4,-6898.12,0.0345332
241105,217656,90,182430,166554,82,5025.45,72860.1,12797.2,2536.41,4468.64,-126.071,1489.02,78686.8,34225.8,-7502.65,0.0355198
393030,355399,98,221012,194196,87,9273.82,150705,19775.7,16998.3,3242.34,3800.72,2142.83,60336.7,79366.1,-4528.85,0.0374931
250273,228176,81,189396,164044,83,4919.6,66393.6,3980.91,2231.93,2098.49,138.575,1372.83,110733,25961.3,-12822.5,0.0374931
295508,281748,80,135709,124772,80,6576.61,57332.9,31535.7,2625.16,4492.33,1885.3,1741.29,31317.2,34516.2,-3772.79,0.0374931
270717,256696,81,103135,99031,78,3591.21,41729.8,22935.8,1435.11,3575.97,902.244,1389.8,28839.6,17899.4,-2072.97,0.0374931
394274,348360,91,252080,215241,88,10352.3,181850,27571.2,25387.7,2006.18,671.882,3180.08,165601,89735.1,-14732.6,0.0384798
345920,313187,91,141466,124472,83,6204.54,61280.2,2681.15,3347.35,3078.55,571.646,689.292,50724,35156.9,-5665.47,0.0394665
283906,265784,83,131529,118072,79,7975.44,76413.6,11482,4042.77,576.091,1000.42,1585.38,69007.7,48986.2,-7912.01,0.0394665
340528,313736,87,141415,127994,82,7325.36,131397,18789.5,22441.5,2440.55,1629.6,1686.67,98920.9,63301.4,-9273.08,0.0424265
280536,266071,81,141861,131286,80,10006.3,112567,29384.6,5627.02,4186.92,538.162,2612.74,63461.9,73462.5,-6952.33,0.0424265
