"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
267364,240944,91,316915,285867,88,5974.29,153886,11559,17153.6,2286.85,6512.95,1977.56,590059,42080.8,-50130.9,0.00100948
229333,211850,83,227404,206061,84,6312.68,150622,5132.24,23989.9,1000.73,-501.891,1790.17,435463,36737.9,-37191.6,0.0222086
210669,181283,90,413647,345713,88,6080.18,179790,10566.2,16987.7,1359.06,4330.13,3750.92,718198,40080.9,-61201.7,0.029275
335321,296142,88,289019,247995,90,7985.36,94545.1,15288.7,48592.3,3894.79,1038.18,927.783,298184,18092.2,-24608.5,0.0464362
248090,226775,85,296055,265354,87,5327.55,117663,5104.76,12343.5,2576.61,1251.57,383.467,678316,11934.2,-57966.9,0.0484551
320786,283524,90,341290,296402,92,7919.38,146926,11565.3,49127.8,1673.11,1520.12,3064.93,274316,67659.5,-22384.8,0.056531
374468,324529,90,352621,306909,94,6549.92,169428,8798.6,18077.2,2887.71,366.816,1631.78,310236,40013,-26049,0.0575405
310802,283605,88,242495,216985,85,8704.72,164343,10581.7,59860.2,101.693,10127.6,2175.18,309718,64597.5,-24381.1,0.0575405
363354,322816,98,316932,268787,92,7748.47,164878,17537,31587.7,-2150.58,-707.753,2916.33,331515,70026.1,-27519.1,0.0646068
301972,264044,88,370524,320970,90,8922.89,142538,13970.3,14968.6,581.981,1028.68,1669.64,222466,50690.6,-14462.2,0.0716732
332213,315319,84,247434,224712,87,5547.3,124584,12175.9,39815.1,1750.46,5565.5,622.474,349803,43530.3,-28922.7,0.0757111
420917,372728,95,375491,328302,94,10207.9,114093,4261.48,40229.2,4437.66,3048.84,1331.89,472392,19857.1,-40556.2,0.115081
323873,302858,87,306763,275373,90,9075.52,204400,18959.1,32754,2223.13,4189.69,2834.21,407310,62284.1,-29398.6,0.130223
159792,149981,78,134297,123033,79,2941.92,78266.9,8109.86,27869.8,1233.59,8222.07,728.929,189235,14239.1,-13246,0.131233
298580,276013,86,201559,176502,85,5522.51,127599,7537.89,23337.1,429.693,2663.01,1416.15,462312,37302.5,-37878.7,0.13628
324604,291243,91,238028,203560,91,6534.53,133590,11158.8,43200.1,2855.11,2799.14,4.8239,423026,19279.9,-35835,0.142337
223092,186556,97,398461,327793,88,5652.32,123670,19753.7,44874,2219.19,15734,1285.58,569939,10960.9,-46803.2,0.144356
332758,304041,88,241263,213768,86,6725.05,156215,4738.87,32347.6,294.621,6028.55,2058.01,597649,43881.8,-50385.4,0.148394
339552,309851,96,291247,257073,87,8942.54,169139,7161.34,64781.8,1635.62,11996.8,1528.17,445958,52348.1,-38308.4,0.153441
354959,320863,89,232543,199630,88,5695.04,180232,2441.52,9354.94,5405.41,6154.74,-328.808,575794,8747.25,-49248.3,0.158489
318804,280248,89,379845,321246,90,5091.56,116551,14581.6,38463,1501.06,3840.04,1415.24,721880,36148.5,-61624.3,0.163536
240276,215855,87,250619,216180,84,3427.65,85680.9,3425.9,22585.8,1014.81,3536.51,731.045,262846,30502.1,-20456.9,0.181707
342407,299585,92,344112,291456,90,7916.71,85322.4,11877.7,36627.7,2943.55,4063.76,2077.48,460241,16874.2,-39651.3,0.198868
289257,253836,86,355011,305958,90,5259.27,91177.6,14810.8,40176.6,5528.36,10439,1100.47,848047,13568.8,-72012.4,0.202906
337841,306901,90,287880,257655,88,6460.52,186321,10214.2,30176.1,578.355,-1696.93,2425.81,636134,56881.9,-52266.2,0.203915
