"MCL_r","BCL_r","IgG_r","n"
"1","1","1","1",0.814814814814815
"2","1","1","2",0.333333333333333
"3","1","1","3",0.222222222222222
"4","1","2","1",0.851851851851852
"5","1","2","2",0.444444444444444
"6","1","2","3",0.0740740740740741
"7","1","3","1",0.962962962962963
"8","1","3","2",0.666666666666667
"9","1","3","3",0.037037037037037
"10","2","1","1",0.296296296296296
"11","2","1","2",0.407407407407407
"12","2","1","3",0.703703703703704
"13","2","2","1",0.518518518518518
"14","2","2","2",0.740740740740741
"15","2","2","3",0.481481481481481
"16","2","3","1",0.62962962962963
"17","2","3","2",0.925925925925926
"18","2","3","3",0.259259259259259
"19","3","1","1",0.148148148148148
"20","3","1","2",0.37037037037037
"21","3","1","3",1
"22","3","2","1",0.185185185185185
"23","3","2","2",0.592592592592593
"24","3","2","3",0.888888888888889
"25","3","3","1",0.111111111111111
"26","3","3","2",0.555555555555556
"27","3","3","3",0.777777777777778
