"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
298717,276882,82,177778,163927,81,7917.93,169465,6102.34,44699.5,1073.38,3146.63,3775.78,156096,61908.5,-16479.7,0.00309355
295814,278583,81,168948,157426,81,9754.39,202349,6902.61,57561,2705.4,656.868,3164.18,136648,77238.6,-13413.7,0.0123742
269469,247007,84,242158,217805,83,9043.61,182208,5930.13,75665.5,558.57,2393.57,3819.96,120935,85976.9,-11938,0.0123742
256432,242262,80,198149,183876,80,6931.93,163190,5216.27,77090.1,-362.274,3580.66,3182.32,85423,75982.9,-6455.07,0.016499
296109,275054,82,195084,178767,83,7871.5,212635,3500.61,76949.6,1356.58,7048.52,3024.26,158342,69470.1,-15348.6,0.0226861
287806,268908,82,167234,153004,81,8382.47,201747,4517.81,58418.8,913.159,2291.25,4444.35,148956,93607.1,-14213.4,0.0288732
286163,263657,81,188099,169136,83,8538.13,151128,5992.26,62798,251.203,3209.34,2308.68,117855,66759.8,-10686.7,0.0319667
280779,264925,82,143060,131935,79,7707.35,170202,3907.67,31281.9,1834.07,3146.27,2595.26,127657,74083.4,-13002.4,0.0433097
271691,257284,80,135831,128171,79,7120.75,161981,4172.15,29377,1897.38,1705.8,3051.93,117348,63699.3,-10834.3,0.0639334
307763,279918,85,185556,164580,82,10664.5,218082,4189.9,44192.9,1163.56,2019.93,3861.82,151197,112638,-11487.3,0.0886819
275128,257786,81,192172,179311,82,6675.98,135622,4400.5,53935,2000.75,-2478.92,2957.64,74482.4,60987.2,-6261.28,0.101056
294947,276198,82,153383,140036,81,9840.23,150358,3708.4,70667.5,1340.93,10299.8,1871.37,95681.4,72591.1,-9399.43,0.106212
277839,259704,91,157517,147067,81,6924.01,225367,3301.54,23563.6,1284.68,1643.12,4243.89,192710,83337.1,-16426.6,0.109306
271202,258980,81,127470,121107,79,9138.54,102803,3258.66,55793.3,2104.38,6284.51,2306.02,86425,51939.2,-8673.41,0.119617
288966,272554,82,187706,177160,82,12068.4,175983,5265.77,59771.7,2536.33,5847.31,1592.47,110175,78703.4,-9182.29,0.133023
276567,260576,81,173252,162917,81,7027.68,165156,2746.72,38799.8,261.481,4183.25,2797.48,85304.8,62306.3,-6709.73,0.136116
282178,265976,82,164665,152051,80,8023.75,197953,4065.44,44084.2,1943.66,1669.47,3588.34,113878,95843.1,-9433.9,0.136116
266626,252738,82,148506,138970,79,6275.56,136640,2529.86,24682.1,845.569,2619.21,2937.86,96964.7,58152.7,-6447.12,0.154678
300034,286346,82,152061,141157,81,10717.1,161301,2262.77,64726.9,933.098,1160.55,1043.33,79746.1,89638.7,-5474.94,0.166021
313299,289311,85,167533,151534,82,8784.81,208320,2704.01,49924.1,1827.39,4195.1,3740.52,161267,85350.7,-15113.1,0.172208
284012,266040,82,200616,183023,83,9334.55,176953,5390.27,87525.7,-231.64,-57.8251,3394.28,107389,79680.9,-10160.8,0.207268
283861,267988,81,173204,155916,82,6995.04,157967,4479.42,64332,407.11,2045.41,2416.45,120531,64874.9,-8965.28,0.220673
281819,265194,82,169747,160527,82,8796.9,168845,5250.41,41598.7,2376.22,-1787.73,2500.65,139583,88829.1,-13200.4,0.229954
