"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
330437,305738,84,174859,157412,83,10249.7,131890,2294.69,4413.77,2742.11,921.709,2371.53,77495.9,64809.3,-7570.62,0.00100981
341290,314666,85,145772,133262,81,9934.1,102558,7836.97,3872.72,3634.43,-1242.6,2356.89,39468.2,61656.6,-4213.21,0.00100981
353138,330303,84,132261,119956,81,9320.84,184348,9767.55,3830.03,3748.31,1827.48,439.79,56871,44000.2,-6253.28,0.00100981
268709,239605,90,211039,194479,81,11112.4,138590,1140.89,5398.03,865.666,4473.75,2687.68,31235.6,88136.6,-3346.17,0.00302943
387059,331725,99,352729,291109,88,14973.5,252370,19109.7,16804.7,3504.8,4193.31,5687.31,180268,142614,-14917,0.00302943
320410,296641,83,172002,156596,81,10786.7,228053,6659.41,24109,1225.74,7287.06,3407.56,179582,102006,-17735.1,0.00706867
559799,436972,97,286763,231375,95,10751.3,125477,20650.6,5065,5028.13,1860.07,3109.74,63808.3,60040,-6859.03,0.00807848
312042,290263,97,149984,132919,97,8597.35,97527.7,10683.1,3924.09,3589.77,-2121.23,2844.31,6478.06,49586.8,-498.305,0.00807848
243070,219218,82,209075,183316,84,8617.29,155714,9897.17,4183.8,1251.78,3032.92,2943.11,73415.7,58514.9,-7684.68,0.00908829
378514,336740,87,234937,204673,88,12121.1,188523,15568,11232.4,1945.46,-2008.79,4277.47,109897,103621,-9796.11,0.0100981
226790,210076,79,209379,191094,81,8341.94,154822,15129.8,4444.73,4477.83,-181.874,3695.09,107668,62795.1,-10533.2,0.0111079
295547,270692,82,182925,163894,82,7771.04,85433.3,12196.8,3956.98,2632.41,1368.56,558.814,15237,45894.9,-1810.27,0.0131275
249445,220118,89,177262,154459,82,3800.82,93196.1,11330,7478.77,3483.17,5084.76,1015.9,106662,19388.1,-9311.91,0.016157
214435,198170,78,115529,105754,81,2931.54,59254.2,2958.72,2189.93,8199.96,2.37597,1349,25250,21181.2,-2498.32,0.0171668
32026,32471,44,45103,46361,50,42.8566,20.1915,271.009,1066.15,3049.12,81.2311,-284.897,-262.929,53.4382,-89.7685,0.0191864
242848,212345,90,256078,213727,84,3788.7,44834,1380.76,4036.3,10327.9,4081.04,1077.53,22139.7,13272.1,365.013,0.0191864
321787,294760,87,197272,179985,83,10676.4,123241,366.466,5589.48,4189.9,-257.481,3156.05,69086.3,75292.9,-7091.65,0.0201962
413988,353106,91,377163,325580,90,14929.7,201258,8431.46,10423.2,3119.79,24089.4,5853.9,153186,124619,-15871.4,0.0232256
