"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","MCL,BAX AF488-Alexa Fluor™ 488-A","BIM AF647-Alexa Fluor™ 647-A","CD5 APC-CY7-APC-Cy7-A","CD19 BV421-Brilliant Violet 421-A","LD Aqua-Fixable Aqua-A","CD69 BV605-Brilliant Violet 605-A","Ki67_BV711-Brilliant Violet 711-A","Bcl-2 PE-R-PE-A","IgG Rb AF594-AF594-A","CXCR4 PE-CY7-PE-Cy7-A","Time"
315916,297628,82,135426,125732,82,10953.1,156254,4554.37,4569.72,2206.47,-1420.49,2430.38,164139,65650.5,-18344.2,0
313003,287268,84,118474,106152,80,11890,132796,1805.1,5125.01,2942.63,831.815,2407.65,47271.1,67593.8,-4684.92,0.00818227
295512,278731,81,150939,138540,81,9503.97,132834,5631.17,4496.37,1693.18,666.312,4241.3,220547,68572.3,-24108.8,0.00920505
338473,309384,84,182710,162726,83,11498.5,244869,17011.3,70468.9,876.788,31233.5,3880.51,335065,112831,-32018.2,0.0122734
345952,324197,83,110337,103405,79,10034.9,94808.1,250.662,3550.4,2617.36,48.261,1189.3,53297.3,54359.5,-5122.19,0.0122734
263486,242050,84,215735,193146,84,6755.79,88887.6,5968.36,3243.08,4761.29,512.188,1301.65,168769,45684.2,-18705.2,0.0122734
324883,298681,90,156803,140629,84,9038.31,104373,-757.12,3807.17,2700.46,1919.51,1796.66,28771.8,51863.9,-2777.13,0.014319
327178,307787,88,143931,129229,82,8837.06,125473,5822.82,3725.67,3535.7,3568.53,400.306,68764,44659,-7950.84,0.0153418
335386,310650,85,118899,106972,82,9578.83,84155,35367.1,4004.94,2459.99,543.261,2657.45,46530.1,59224.9,-4657.62,0.0173873
300443,283127,83,121990,111898,81,8017.9,112969,5770.22,3915.32,3550.03,-1786.68,3290.74,113639,54252,-13039.1,0.0184101
314530,280340,86,261819,219310,87,10307.3,98170.1,-81.6258,4890.75,2415.74,-563.01,3449.98,30660.6,63550.7,-3339.59,0.0194329
293573,279575,84,115285,108230,78,7430.99,78015.8,2197.74,3101.63,3534.77,1840.47,473.071,25186,41488.5,-2995.8,0.0214785
335044,304768,84,182077,160282,86,10704.4,116201,-673.846,5553.61,3404.65,-292.281,2864.53,55108,78936,-5720.64,0.023524
354184,324979,86,129061,114112,83,10275.5,101169,6115.88,5207.59,3061.01,-336.716,1806.93,129675,69467.1,-13764.3,0.023524
265698,249913,81,158631,145889,80,7390.66,91173.5,1198.37,3731.89,3091.94,-565.427,2345.33,86649.2,54427.9,-9549.07,0.0255696
291132,270459,83,153609,138596,82,8729.23,112001,11169.7,3869.11,471.812,2769.61,913.496,61981.5,53037.8,-6257.97,0.0265924
323513,302432,84,136572,124329,83,10992.1,122782,822.112,4119.48,3727.53,-737.596,1931.9,65325.2,62974.6,-7040.69,0.0265924
309921,287611,87,106922,99744,79,4755.12,42729.4,27318.3,2693.39,3572.58,-539.871,668.079,64008.7,30744.1,-6890.46,0.0276152
301950,280848,95,150002,123945,96,6349.82,58900,12030.7,3337.31,4929.31,891.587,1042.73,85626.6,41783.5,-9621.17,0.0276152
274196,256680,82,202396,184048,83,9614.71,129101,48.5103,5069.49,786.056,1653.41,2424.12,101761,82069.1,-11466.6,0.0306835
222431,204887,85,117937,104594,82,3168.65,78878.9,26450.9,2920.12,19691.7,-491.349,1482.14,86270.6,24776.6,-10758.9,0.0327291
332964,308482,84,147739,130826,83,10742.2,92899.4,-239.913,4445.98,3061.89,1736.98,2010.23,99155.3,60804.2,-10461.9,0.0327291
308027,286812,82,153501,136255,84,8291.92,126818,13230,3049.38,2550.22,2788.67,1898.86,65671.9,51092.4,-7399.6,0.0327291
304313,285567,90,165628,151866,83,8658.46,100610,-1662.25,4138.88,1462.3,765.277,1633.69,84157.8,55832,-8787.17,0.0337519
338387,316050,84,188241,164438,83,9771.04,96534,4059.43,4578.15,3801.01,229.49,934.331,133811,67338.3,-14834.7,0.0337519
323443,301590,82,146079,136401,80,7367.14,94527.5,29568.3,3715.08,2497.6,-1509.02,974.425,364631,56106.8,-41343,0.0347746
394897,350831,92,241488,207425,88,13582.2,200672,927.551,6133.88,6528.5,1059.65,6603.41,15458.6,84850.3,-1058.82,0.0357974
36829,36380,48,50083,49738,55,1004.28,57487.3,6230.75,865.433,138.023,30.7369,1436.84,4822.91,15679.7,-577.403,0.0357974
238752,225058,88,100123,95287,77,3304.41,51455.3,13943.3,2309.63,16324.3,-826.023,825.452,60540.2,16082.6,-6110.49,0.0368202
331401,287033,95,209056,181601,85,6046.73,59157.1,3252.81,3173.01,3669.76,-121.427,1737.1,39761.1,41100.9,-3698.17,0.0368202
335587,310205,84,153242,138799,84,9441.19,170008,950.536,4120.27,2863.17,-11.1772,1578.64,135597,62203,-15605.5,0.0388658
314024,295072,83,158327,142511,82,7532.89,126256,8896.03,3650.11,2139.99,2702.98,-220.689,244050,52368.7,-27507,0.0388658
383126,73169,195,182533,32640,195,3263.76,43938.9,-400.869,10224.5,22261.1,203.449,2163.62,1916,30858.5,-35.696,0.0388658
332985,305271,98,170949,152484,84,10534.3,106885,-394.056,5128.95,4068.41,-220.583,3044.71,113101,76557.1,-12977,0.0398886
297063,278907,82,119087,109073,82,6399.93,77569.2,6821.16,2788.01,1265.43,-752.618,1884.39,164529,38797,-18977.4,0.0409113
347343,314876,85,160218,141702,84,12071.6,145604,27508.7,4501.42,1256.38,210.961,3429.77,16535.4,66923.9,-1346.4,0.0419341
286654,263691,82,207827,153902,96,8260.3,145461,17415.2,4299.79,2978.91,535.676,2386.71,14257.2,57244.1,-1111.14,0.0429569
293681,273011,83,152153,138211,82,9231.84,80892,-590.762,3245.57,1994.98,147.979,1636.12,18851.8,52349.7,-1554.38,0.0450025
255190,240989,81,146879,127266,81,8594.42,96233.9,29137.6,3687.11,1894.57,1704.39,3059.39,61143.4,53793.1,-5261.1,0.0450025
949685,310823,251,495859,161026,237,24803.4,280039,53237.4,13216,28492.3,1776.28,6645.74,272293,172045,-30659.8,0.0460253
289083,271243,82,152439,138233,82,8306.72,105058,20965.9,3844.15,1644.44,465.097,2220.29,82314,58789.5,-9169.69,0.0460253
314911,296294,86,148358,136265,82,5806.83,57286.9,2816.47,2680.4,1849.75,694.05,568.691,91192.2,32609.9,-10602.8,0.047048
293121,276164,83,123801,112651,79,5977,115356,1771.6,3701.95,1618.93,1730.33,1488.92,139132,46903.9,-15847.4,0.0490936
321191,300631,82,112934,101328,80,10511.9,113977,4818.03,3951.25,2327.75,3868.88,994.46,55208.6,63788.2,-5767.84,0.0490936
340046,288798,88,141904,118623,86,10317.3,94319.8,189.48,4493.9,2285.84,1746.46,1144.46,41331.1,57111.2,-4577.73,0.0501164
317919,298519,83,118895,109063,80,8487.51,77963.8,9617.66,3691.17,8177.09,-7.67371,1521.55,72844.8,41929.3,-8128.68,0.0501164
312295,291604,84,114361,104650,81,8944.6,84977.4,-218.417,4798.48,5637.31,-573.822,1283.71,105865,58769.3,-11505.3,0.0542075
642105,362158,107,274843,157259,104,14225.3,215128,48298.6,6067.3,7141.5,972.377,3774.2,278735,88216.9,-31998.3,0.0572759
320478,300667,82,107866,99199,80,7849.41,89011.1,5360.16,2909.35,1174.01,3274.77,313.245,58354,43993.9,-6038.16,0.0582987
302428,283723,89,103341,94563,79,7658.28,66599.5,23382.2,3196.34,2272.46,-1249.69,1027.9,58682.4,45852.6,-6105.73,0.0593214
313326,294283,83,111422,103567,78,6622.06,93310,4615.64,2732.96,2223.7,310.11,178.23,130208,37286.8,-14101.3,0.0593214
587767,453067,107,459096,359481,101,5967.83,108683,12256,2529.53,10065.7,-213.973,680.486,248878,-280.149,-28689.9,0.0603442
305899,286225,83,137747,125515,82,8052.11,81362.2,34710.6,2838.53,3549.65,540.022,2043.05,106496,40578.6,-11944.4,0.0623898
295345,276941,81,161223,144595,83,8186.88,93814.2,41979.5,2625.51,2842.38,2849.01,1702.36,76893,42589.9,-8551.28,0.0634126
306593,286460,88,147446,137083,81,10096,107663,25884.7,4494.33,3757.53,2904.51,3066.57,82685.8,69366.4,-9147.38,0.0634126
280331,268510,79,191086,167945,95,8193.68,139742,-29.016,3866.6,3333.03,2287.51,1402.56,144094,56538.8,-15716.6,0.0634126
